learning_rate,sequence_size,batch_size,hidden_layers,train_score_MAE,train_score_MSE,train_score_RMSE,test_score_MAE,test_score_MSE,test_score_RMSE,epoches_stopped,exec_time,try
0.1,5,16,0,838.553548592343,1200561.164773978,1095.701220577023,656.0023079015565,695259.0932936211,833.8219793778652,0,18417.980712890625,1
0.1,5,16,0,857.9581451896853,1323496.2033488734,1150.4330503548972,953.180565665815,1444973.3922501542,1202.070460601272,9,18191.207763671875,2
0.1,5,16,0,837.4715243242065,1285487.1793045558,1133.7932700914023,954.1578817318203,1106950.1588860056,1052.11698916328,5,11892.09375,3
0.1,5,16,0,900.9838467573,1242182.969405587,1114.532623751134,680.5394949764734,594425.635059788,770.9900356423474,0,18099.922119140625,4
0.1,5,16,1,820.0446010374454,1181951.3829372008,1087.1758748874079,773.7698375676687,1180737.8439547704,1086.617616254573,0,29808.402099609375,1
0.1,5,16,1,5881.245363023306,44273121.04628452,6653.805005129359,5641.317842931322,35754516.36902012,5979.5080373739875,0,30721.78564453125,2
0.1,5,16,1,973.514971948877,1555788.3968133957,1247.3124695974925,762.7834485443203,833722.3167498612,913.083959310348,8,27584.4384765625,3
0.1,5,16,1,822.7867513039465,1189130.636751818,1090.4726666688248,864.8552162011644,1303572.929468117,1141.7411832232895,6,23384.917724609375,4
0.1,5,16,2,2281.176191128357,6563579.318682171,2561.9483442649994,653.314952490019,485727.35780572885,696.9414306853402,0,41518.07568359375,1
0.1,5,16,2,2015.6503968524667,5656887.360962098,2378.4211908243037,755.7889588596125,928053.045206616,963.3550981889368,5,28355.924560546875,2
0.1,5,16,2,914.2115954331589,1302234.6827715659,1141.1549775431756,552.7333776700926,480684.5831360077,693.3142023181176,9,41984.54931640625,3
0.1,5,16,2,11014.799937428505,127883275.61956517,11308.548784860292,11746.282415620246,138034151.06691936,11748.793600490195,0,41326.515869140625,4
0.1,5,16,3,2279.752568266142,6557822.6462351475,2560.8246027862097,750.5792906202472,622369.7509179384,788.9041455829336,9,51792.301025390625,1
0.1,5,16,3,2318.906496483068,7121657.977085045,2668.6434713324006,1482.5638976930848,2256989.798035807,1502.3281259551147,6,39222.4345703125,2
0.1,5,16,3,2279.941292089368,6557488.365416375,2560.7593337555904,736.9967710889972,602164.7200055526,775.992731928304,7,44000.33935546875,3
0.1,5,16,3,2281.0541899068685,6562449.140955538,2561.7277648016266,660.8727667229088,495702.28418648714,704.0612787154873,5,35286.574462890625,4
0.1,5,32,0,774.2033581315181,1130218.3196554873,1063.1172652419334,705.1056762609909,652380.5046344163,807.7007519090324,7,10198.4404296875,1
0.1,5,32,0,985.5072433707193,1571343.8203915614,1253.5325366306058,464.19876080257836,481493.1453916896,693.8970711796452,0,11088.277099609375,2
0.1,5,32,0,753.0014090017711,1168686.3973550275,1081.0579990708304,680.7896527281368,589718.9009207217,767.9315730719253,9,11168.005859375,3
0.1,5,32,0,800.4809500618181,1164943.8892172766,1079.3256641149958,441.27881451164444,520822.7655406573,721.6805148683572,0,11435.34619140625,4
0.1,5,32,1,1435.2439705037557,3327341.6730234926,1824.1002365614377,1524.9960191730038,2715145.569984667,1647.7698777392027,0,19110.147705078125,1
0.1,5,32,1,956.7610975627844,1612837.716056629,1269.9754785257192,416.00063762173244,271908.99145343207,521.448934655573,0,19342.0234375,2
0.1,5,32,1,1483.5400418497575,3604246.2342010573,1898.4852472961325,399.98256242312266,281975.50266822573,531.0136558208515,0,19274.540771484375,3
0.1,5,32,1,1747.2155824276538,4441913.422514725,2107.5847367341426,1034.3752591793013,2109838.4114689426,1452.5282825022523,6,15479.195556640625,4
0.1,5,32,2,2280.265763712067,6557762.685135451,2560.8128953782334,713.5724546827472,568186.1274919062,753.7812199119226,0,26684.243896484375,1
0.1,5,32,2,1582.3675265035074,3597424.5020713448,1896.6877713718052,1956.687455128327,4081232.5303217266,2020.2060613515955,5,19926.8701171875,2
0.1,5,32,2,2797.1845897893004,12405066.84758062,3522.0827428640314,1686.700494536003,2903959.037677942,1704.1006536228845,0,26885.90283203125,3
0.1,5,32,2,866.377766703861,1385414.4168426115,1177.0362852701744,579.77178930543,531239.8950164377,728.8620548611635,7,23426.898193359375,4
0.1,5,32,3,4073.947882466894,22818719.882469144,4776.894376314924,3301.043023832878,10955885.524605652,3309.96760174562,0,33287.244140625,1
0.1,5,32,3,2280.7113195246916,6559764.101995629,2561.203643210674,683.4601499952472,526118.2560414706,725.3400968107792,7,29641.81494140625,2
0.1,5,32,3,977.1282336626921,1707552.158994482,1306.7333924693598,738.9155019852662,807018.387774906,898.3420216014088,7,28789.32958984375,3
0.1,5,32,3,2277.6608075245804,6618169.4915383635,2572.5803178012466,977.8795835889971,1015248.9594101355,1007.5956328856014,8,31908.78173828125,4
0.1,5,64,0,1355.5577257965865,2966663.51869757,1722.4005105368408,1362.4298698773764,2286978.4643348516,1512.2759220244338,7,7569.174560546875,1
0.1,5,64,0,1556.90567921583,3740628.1984983888,1934.0703706169506,1836.0790734000714,3782128.186064523,1944.7694429069281,6,6767.70263671875,2
0.1,5,64,0,1432.5610832681587,3350503.3480510986,1830.4380208166292,1514.3249378621078,2598435.953087375,1611.966486341256,9,8267.452392578125,3
0.1,5,64,0,1228.2804898712234,2450072.4296795125,1565.2707208912816,911.7565519432628,1186480.647327224,1089.2569243880087,0,8585.13623046875,4
0.1,5,64,1,1382.1120579331475,3132441.7791371113,1769.8705543448966,1300.259660826521,2126968.2915473594,1458.4129358817959,9,14131.126220703125,1
0.1,5,64,1,1293.3562114479587,2746452.438295143,1657.242419893705,1432.122416884387,2301638.9639333608,1517.1153429892404,6,12137.421630859375,2
0.1,5,64,1,8350.25251159661,76280757.75395486,8733.885604583727,7618.282342680534,58097226.332207955,7622.153654460658,0,14249.873779296875,3
0.1,5,64,1,1167.214020374906,2255502.782923397,1501.8331408393535,958.0866566121078,1101187.407439091,1049.3747697744077,0,14633.637451171875,4
0.1,5,64,2,2279.5784465239135,6553496.799538131,2559.9798435804396,722.4235289014972,580896.2345204372,762.1654902450236,0,19968.42919921875,1
0.1,5,64,2,2143.335993862036,5637572.632108657,2374.3573092752185,683.0537498103018,845461.0652719532,919.4895677885385,9,19815.0986328125,2
0.1,5,64,2,6004.054175717948,42543068.64309313,6522.504782910713,5267.318292387565,27803642.4727306,5272.915936436935,0,20055.731201171875,3
0.1,5,64,2,7301.442143259972,59868515.329363,7737.474738528263,6569.959665068229,43223370.48003338,6574.448302331792,0,20098.329345703125,4
0.1,5,64,3,2285.689448652901,6641755.389314117,2577.1603344212244,447.91382027578425,253606.98964435124,503.5940722887346,0,24956.711181640625,1
0.1,5,64,3,2279.266434588532,6560575.8973731985,2561.3621175798626,787.3209898389972,678874.8204510032,823.9386023551774,0,25020.06689453125,2
0.1,5,64,3,13286.198109446497,183080518.16144988,13530.724968066193,12554.715631254754,157679885.0610824,12557.065145211376,0,24787.356201171875,3
0.1,5,64,3,2280.167791575452,6557571.344384458,2560.77553572828,720.8341734327472,578602.3849984168,760.6591779492421,8,23466.57666015625,4
0.1,10,16,0,954.881057057289,1662392.4484362595,1289.3379884406802,908.6263261006478,1527738.831064703,1236.0173263610438,0,26886.129150390625,1
0.1,10,16,0,2132.364995068085,7872642.103424697,2805.8228923837473,2867.582130895273,10667222.366743576,3266.0713964553156,0,26273.40869140625,2
0.1,10,16,0,1571.7894401939873,4148274.331105431,2036.7312859347526,1227.2957207603167,1828112.8034566634,1352.077218008152,0,26266.578857421875,3
0.1,10,16,0,1995.0054811284294,5897695.448485519,2428.5171295433597,1164.7730852170707,2135907.1542176455,1461.474308435713,0,27194.263916015625,4
0.1,10,16,1,1991.3372011080671,5231796.32815497,2287.312031218078,941.9050050224928,1774462.597944297,1332.0895607819682,8,42842.8896484375,1
0.1,10,16,1,2038.0098999092813,6708145.763512332,2590.0088346398225,693.3721661359166,648800.149704656,805.4813155527917,0,46877.668701171875,2
0.1,10,16,1,1523.3303142612922,3636644.5520964307,1906.9988337952466,1107.2192785042887,1855396.4658995338,1362.129386622113,0,46743.435302734375,3
0.1,10,16,1,2070.4473610925697,5484667.742706433,2341.9367503642006,972.2770847628959,1695925.330248247,1302.2769790825018,0,48653.420166015625,4
0.1,10,16,2,12133.445591678328,153784392.5177294,12400.983530257969,11407.17749697481,130181094.24395369,11409.692995166595,0,70413.34106445312,1
0.1,10,16,2,2292.902272251136,6908843.442864913,2628.4678888784074,1313.594963962692,1782927.525813376,1335.2630923579727,0,67215.15942382812,2
0.1,10,16,2,12149.773716678328,154180891.95799866,12416.959851670563,11423.50562197481,130553876.49175528,11426.01752544408,0,67613.490234375,3
0.1,10,16,2,12148.587193240828,154152061.3832862,12415.798862066275,11422.31909853731,130526769.38527538,11424.831262879788,0,67642.37036132812,4
0.1,10,16,3,12151.282994022078,154217568.99232134,12418.436656532953,11425.01489931856,130588361.24611627,11427.52647103109,0,84595.8125,1
0.1,10,16,3,2240.004143735439,6353570.211538143,2520.62893174266,558.3833425744361,366283.97342308256,605.213989778064,0,84078.3251953125,2
0.1,10,16,3,11700.435826053328,143464089.1111034,11977.649565382324,10974.16773134981,120489753.19226462,10976.782460824512,0,84721.13012695312,3
0.1,10,16,3,3992.0975480674433,22150909.090458397,4706.4752299845795,3221.771735256058,10437208.91056006,3230.6669451616426,0,83787.2734375,4
0.1,10,32,0,38590.10478389746,1534398879.6719174,39171.40385117589,37801.71232203311,1469064553.3862507,38328.37791227605,6,12970.42431640625,1
0.1,10,32,0,15232.555016282235,380357949.67078334,19502.767743855828,22468.92802712318,570310670.7164572,23881.17816851709,0,16792.976806640625,2
0.1,10,32,0,1694.7188908076766,4450668.52542112,2109.660760743566,733.0697614131478,736262.4522844718,858.0573712080514,9,16668.96630859375,3
0.1,10,32,0,2054.5358961872194,5643367.767358433,2375.577354530564,750.6840811621282,830169.095860484,911.1361565981695,0,17350.10498046875,4
0.1,10,32,1,1905.5892833883,4976514.555420602,2230.81029122169,1190.144378774952,1822608.366026252,1350.0401349686801,8,27156.1796875,1
0.1,10,32,1,2038.217594028252,5995692.005344158,2448.6102191537466,1099.6336481795827,2039409.562121274,1428.0789761498745,0,29603.792724609375,2
0.1,10,32,1,12119.243931522078,153439964.06324586,12387.088603188638,11392.97583681856,129857294.21479674,11395.494469955955,0,29785.97705078125,3
0.1,10,32,1,12061.686314334578,152048167.33691722,12330.78129466731,11335.41821963106,128549102.01040897,11337.949638731377,0,30277.92724609375,4
0.1,10,32,2,2057.7412179233575,5923822.486691276,2433.890401536453,902.6826965592611,1453190.7158664677,1205.483602487594,0,41600.09521484375,1
0.1,10,32,2,2656.791670089203,9674202.946676822,3110.338075945575,1851.098109493432,5517047.80181785,2348.839671373474,0,41275.2060546875,2
0.1,10,32,2,12146.304478397078,154096603.07344007,12413.56528453611,11420.03638369356,130474626.80134986,11422.54905007415,0,42261.955078125,3
0.1,10,32,2,1872.6122306766358,4889049.096241349,2211.119421524163,444.0118912723129,385396.1765732072,620.8028483932779,5,29733.1513671875,4
0.1,10,32,3,12015.424517066991,150934316.73180652,12285.532822462626,11289.15650088106,127502450.29785028,11291.698291127437,0,51793.7001953125,1
0.1,10,32,3,2291.188948990235,6718940.256125393,2592.0918687664976,345.06817187044146,167955.1175504654,409.8232759988937,9,51942.064208984375,2
0.1,10,32,3,12137.770786990828,153889370.2690391,12405.215446296736,11411.50269228731,130279789.49254571,11414.017237263386,0,52262.552001953125,3
0.1,10,32,3,12115.012486209578,153337418.13252518,12382.948684886213,11388.74439150606,129760894.61152592,11391.263960225218,0,52384.338623046875,4
0.1,10,64,0,952.8328722400272,1814031.4182353476,1346.8598361504985,1181.016273765115,2052877.699201476,1432.7866900559468,7,10411.725341796875,1
0.1,10,64,0,1522.3349835148422,3666830.61398186,1914.897024380648,1323.3560613150792,2355402.1395702846,1534.731943881499,0,12067.197509765625,2
0.1,10,64,0,2037.6255382875158,5554303.756655553,2356.757042347716,1762.204982819158,4264638.242118122,2065.1000562002127,7,10464.1591796875,3
0.1,10,64,0,1776.7700668154812,4961758.323395022,2227.500465408486,887.3977509647312,1351201.7519338815,1162.4120405148433,0,12722.563232421875,4
0.1,10,64,1,9134.08926843614,89995477.35527141,9486.594613204014,8407.821173732622,70748852.68593182,8411.233719611637,0,21713.660888671875,1
0.1,10,64,1,1916.6513444090183,5079785.560855994,2253.83796242232,1067.034019478947,2559683.119304859,1599.9009717182057,7,18960.849853515625,2
0.1,10,64,1,2158.499946681026,5954287.101426451,2440.140795410472,698.795437115583,829583.896052474,910.8149625760844,0,21853.7626953125,3
0.1,10,64,1,12152.254673709578,154241184.24620745,12419.387434419117,11425.98657900606,130610565.10009179,11428.497937178437,5,16267.626708984375,4
0.1,10,64,2,12151.409947147078,154220654.29513612,12418.560878585575,11425.14185244356,130591262.14492264,11427.653396254309,5,21393.202880859375,1
0.1,10,64,2,12124.225376834578,153560731.57979074,12391.962378081638,11397.95728213106,129970826.00174963,11400.474814750025,0,30209.72802734375,2
0.1,10,64,2,12149.858677615828,154182956.4775478,12417.042984444719,11423.59058291231,130555817.60246801,11426.10246770385,5,22093.697509765625,3
0.1,10,64,2,1977.5486223639791,5618431.804559777,2370.3231434890426,1246.9777696909787,2263129.3499200353,1504.3700840950125,9,29890.744140625,4
0.1,10,64,3,12152.415806522078,154245100.52611881,12419.54510141651,11426.14771181856,130614247.32876171,11428.659034583266,5,26884.447265625,1
0.1,10,64,3,4702.2177977107895,29332061.1882326,5415.908159139389,4142.994531186811,21179704.297190275,4602.141273058692,0,37202.08203125,2
0.1,10,64,3,14673.426148760615,221880908.89684793,14895.667453888998,13948.10864931856,194607130.68966043,13950.165973552444,0,38039.564453125,3
0.1,10,64,3,12155.938267459578,154330725.75379935,12422.991819759012,11429.67017275606,130694756.05445473,11432.180721736982,5,26687.109375,4
0.1,15,16,0,nan,nan,nan,nan,nan,nan,4,21037.260498046875,1
0.1,15,16,0,17635.69798158513,626631185.840061,25032.60245839535,12943.555419775663,281168324.84638715,16768.07457182807,9,36120.80224609375,2
0.1,15,16,0,nan,nan,nan,nan,nan,nan,4,20214.976318359375,3
0.1,15,16,0,nan,nan,nan,nan,nan,nan,4,20090.087890625,4
0.1,15,16,1,nan,nan,nan,nan,nan,nan,4,35618.203125,1
0.1,15,16,1,nan,nan,nan,nan,nan,nan,4,36288.93017578125,2
0.1,15,16,1,nan,nan,nan,nan,nan,nan,4,35947.15625,3
0.1,15,16,1,nan,nan,nan,nan,nan,nan,4,36929.42431640625,4
0.1,15,16,2,nan,nan,nan,nan,nan,nan,4,51186.18408203125,1
0.1,15,16,2,12151.959669707003,154240483.0483156,12419.359204416129,11430.10498156371,130703717.624211,11432.572659913909,5,59735.959716796875,2
0.1,15,16,2,nan,nan,nan,nan,nan,nan,4,54429.2900390625,3
0.1,15,16,2,nan,nan,nan,nan,nan,nan,4,56681.5771484375,4
0.1,15,16,3,2491.644188128613,8497394.429530539,2915.0290615241793,2110.031612277132,4508651.149244859,2123.358459903758,0,126478.88061523438,1
0.1,15,16,3,2067.6249334583167,6417911.996816331,2533.3598237945457,1706.5109783713056,4653917.955912827,2157.2941282803386,0,126780.68725585938,2
0.1,15,16,3,12150.262203488574,154199120.9056526,12417.693864226667,11428.38427843871,130664384.95030853,11430.852328252191,0,113560.763671875,3
0.1,15,16,3,nan,nan,nan,nan,nan,nan,4,62110.723388671875,4
0.1,15,32,0,nan,nan,nan,nan,nan,nan,4,12772.03759765625,1
0.1,15,32,0,nan,nan,nan,nan,nan,nan,4,12426.534423828125,2
0.1,15,32,0,nan,nan,nan,nan,nan,nan,4,12590.013671875,3
0.1,15,32,0,nan,nan,nan,nan,nan,nan,4,12633.564208984375,4
0.1,15,32,1,nan,nan,nan,nan,nan,nan,4,22543.949951171875,1
0.1,15,32,1,nan,nan,nan,nan,nan,nan,4,22699.427490234375,2
0.1,15,32,1,nan,nan,nan,nan,nan,nan,4,22677.918212890625,3
0.1,15,32,1,nan,nan,nan,nan,nan,nan,4,23101.818603515625,4
0.1,15,32,2,nan,nan,nan,nan,nan,nan,4,32216.288330078125,1
0.1,15,32,2,nan,nan,nan,nan,nan,nan,4,32371.745849609375,2
0.1,15,32,2,nan,nan,nan,nan,nan,nan,4,32243.891845703125,3
0.1,15,32,2,nan,nan,nan,nan,nan,nan,4,32157.195556640625,4
0.1,15,32,3,nan,nan,nan,nan,nan,nan,4,40287.32177734375,1
0.1,15,32,3,4063.2893005735787,22024699.69379241,4693.048017418148,3976.5998249785007,21877719.56541873,4677.362458204274,8,61945.982666015625,2
0.1,15,32,3,nan,nan,nan,nan,nan,nan,4,40622.3251953125,3
0.1,15,32,3,nan,nan,nan,nan,nan,nan,4,40141.3623046875,4
0.1,15,64,0,nan,nan,nan,nan,nan,nan,4,9521.82861328125,1
0.1,15,64,0,nan,nan,nan,nan,nan,nan,4,9514.354248046875,2
0.1,15,64,0,nan,nan,nan,nan,nan,nan,4,9532.30078125,3
0.1,15,64,0,nan,nan,nan,nan,nan,nan,4,9468.7265625,4
0.1,15,64,1,nan,nan,nan,nan,nan,nan,4,17913.199462890625,1
0.1,15,64,1,nan,nan,nan,nan,nan,nan,4,17645.68359375,2
0.1,15,64,1,nan,nan,nan,nan,nan,nan,4,17285.8349609375,3
0.1,15,64,1,12151.982618925753,154241040.8048037,12419.381659519273,11430.12793078246,130704242.24869677,11432.595604179165,5,20593.670166015625,4
0.1,15,64,2,12151.946974394503,154240174.50262582,12419.346782444954,11430.09228625121,130703427.40686287,11432.55996734165,5,28438.427490234375,1
0.1,15,64,2,nan,nan,nan,nan,nan,nan,4,25696.59423828125,2
0.1,15,64,2,nan,nan,nan,nan,nan,nan,4,24625.039794921875,3
0.1,15,64,2,nan,nan,nan,nan,nan,nan,4,24556.41162109375,4
0.1,15,64,3,2081.120336751926,6274384.395808298,2504.872131628339,1078.0349019305959,2209890.514423014,1486.5700502912784,0,47493.612060546875,1
0.1,15,64,3,2313.970021708431,7054363.705239074,2656.005215589584,196.0690694050388,57101.577516000674,238.95936373367059,0,48010.6728515625,2
0.1,15,64,3,nan,nan,nan,nan,nan,nan,4,31195.20751953125,3
0.1,15,64,3,12034.875685332003,151408591.99552554,12304.819868471279,11313.02099718871,128040861.8174761,11315.514209150024,0,47490.0390625,4
0.01,5,16,0,488.99889033838434,491119.3425567678,700.799074312151,522.1761597738831,374316.0384956192,611.8137285936131,7,16005.560546875,1
0.01,5,16,0,516.0444003038727,520602.64476269507,721.5279930554982,435.8541833601474,254348.42576588213,504.3296796400963,0,17735.25927734375,2
0.01,5,16,0,453.86863634458405,457647.2375982649,676.4962953322545,588.8091099051805,563545.684054463,750.696799017062,9,18865.311279296875,3
0.01,5,16,0,611.4659579883725,772476.218671615,878.9062627331854,352.4889665017229,231359.88295715375,480.9988388313986,5,12509.297119140625,4
0.01,5,16,1,533.3593824141072,602454.5789184135,776.1794759708695,498.0250249407676,503200.96423069615,709.3665936810784,0,29648.0224609375,1
0.01,5,16,1,502.53487471364093,513139.3177693969,716.3374328969531,322.73258365250723,143029.26190565422,378.1920965668825,0,30283.54443359375,2
0.01,5,16,1,522.523542781559,576869.4400300047,759.5192163665148,439.55159955560833,235273.63225020617,485.0501337492921,8,27520.91259765625,3
0.01,5,16,1,702.5294589700939,1023349.8838754463,1011.6075740500594,621.1579733762476,574366.3361863758,757.8696036828339,5,21619.16162109375,4
0.01,5,16,2,750.3657913828082,969719.5381721011,984.7433869654069,723.6782998963286,624837.4389261219,790.4665957054237,6,33068.884765625,1
0.01,5,16,2,675.1292787869912,907375.8373488837,952.5627734427185,831.1737286817371,1069057.9962579554,1033.9526083230098,0,43106.2275390625,2
0.01,5,16,2,531.9171637572969,543577.0901219808,737.2768069877017,629.3146549170627,733841.6366271973,856.6455723501974,0,43347.5166015625,3
0.01,5,16,2,653.1215565418918,767582.0840471062,876.1176199843867,358.8779359771863,182835.22829664795,427.59236229924403,0,41970.341064453125,4
0.01,5,16,3,568.2265629620542,683948.7949217733,827.0119678225783,477.9403169421935,318246.00352214725,564.1329661721138,0,52363.1640625,1
0.01,5,16,3,598.6961415791976,737272.0585713041,858.6454789791326,321.41675847118586,171619.22300890525,414.26950528479074,0,51668.1982421875,2
0.01,5,16,3,828.0949470976823,1251070.8544569828,1118.5127868991856,948.5037725161596,1134487.157840647,1065.1230716873272,5,35007.541748046875,3
0.01,5,16,3,646.2506015353309,884941.7097302772,940.7134046723673,200.03554927394254,50375.80872664027,224.44555849167583,0,51135.693115234375,4
0.01,5,32,0,543.7761924638892,598014.707453295,773.3141065914258,298.560128864306,175675.73933281287,419.1368980808214,0,11536.158935546875,1
0.01,5,32,0,537.0828279943452,555682.4279451751,745.4410962277134,365.6705729737405,217675.51643784775,466.5570880801703,0,11168.226318359375,2
0.01,5,32,0,544.0265965304744,644219.6327516541,802.6329377440563,395.90739244397577,245724.97171911856,495.70653790233445,0,11096.2841796875,3
0.01,5,32,0,561.5724693049626,568639.9334907047,754.0821795339715,522.3109008685243,463575.72099423665,680.8639518980548,0,11411.7099609375,4
0.01,5,32,1,489.93364569588175,473965.7023219693,688.4516702877329,600.2619560612524,502322.929895302,708.7474373112766,0,19183.22412109375,1
0.01,5,32,1,483.40837479343094,557329.4328426709,746.5449971988768,319.35421281422293,176318.70455506895,419.9032085553395,0,19461.957763671875,2
0.01,5,32,1,491.7140937124922,507415.6994444005,712.3311725906711,567.357464231345,512402.7055404575,715.8230965402398,0,18940.93701171875,3
0.01,5,32,1,494.2263999989549,537956.6314793252,733.4552689014683,532.0940211752614,428611.7442296304,654.6844615764379,9,19343.662841796875,4
0.01,5,32,2,805.0991484711562,1665225.3728630135,1290.4361173119007,338.32695490369537,145855.16251474412,381.9098879509984,0,26900.744384765625,1
0.01,5,32,2,484.8160706333753,508255.0401665157,712.9200797891133,447.54995048782075,320607.4778328806,566.2221099823643,0,26427.627197265625,2
0.01,5,32,2,534.0800587481983,572216.5056698348,756.4499359969798,592.2385931563688,532783.599149589,729.9202690360016,0,27054.691162109375,3
0.01,5,32,2,687.9020196088887,891317.7165860311,944.0962432856256,812.3399679868702,788579.0336451195,888.0197259324365,0,26784.4638671875,4
0.01,5,32,3,602.5033361901511,780478.4925864674,883.4469381838773,264.39849828719105,117606.61768475467,342.9382126342217,0,33641.197265625,1
