learning_rate,sequence_size,batch_size,hidden_layers,train_score_MAE,train_score_MSE,train_score_RMSE,test_score_MAE,test_score_MSE,test_score_RMSE,epoches_stopped,exec_time,try
0.1,5,16,0,477.83262311464534,449060.65349457646,670.1198799428178,1839.0861615835468,4835657.273140835,2199.012795128949,0,20052.58740234375,1
0.1,5,16,0,726.0678316702686,918556.0031453669,958.4132736692281,1875.379423691421,5832073.967666483,2414.9687301632875,5,13189.71875,2
0.1,5,16,0,518.6048053627806,527469.6273861784,726.2710426460485,3292.6292349569844,13314094.135666579,3648.8483300442317,7,16882.752197265625,3
0.1,5,16,0,628.8134756669483,711972.1700763635,843.7844334167131,2059.2020679886446,6393350.840139899,2528.507631022675,0,20492.80517578125,4
0.1,5,16,1,2987.95418503248,10588508.025889724,3253.998774721608,4491.578726823402,21405188.400782406,4626.574153818612,8,30769.898681640625,1
0.1,5,16,1,1011.3568055660083,1444950.1745923208,1202.0608032010364,1434.2359893491632,3982339.9816710553,1995.5801115643178,0,34175.52734375,2
0.1,5,16,1,538.7211019512023,525050.9178065256,724.603973082211,2237.8579459947314,6860114.971429258,2619.182118797633,5,22615.4248046875,3
0.1,5,16,1,2178.938863964744,6209449.454420316,2491.87669326159,2568.4767625581394,7135400.119742585,2671.2169735426933,0,33252.177490234375,4
0.1,5,16,2,1266.5643496275436,2048516.891296733,1431.264088593273,1119.994099990098,3449864.3706223103,1857.381051540666,7,39313.29541015625,1
0.1,5,16,2,664.31221928888,789769.3469825796,888.6896797997485,1714.5453744135727,4575291.945416743,2138.993208361528,0,46182.226806640625,2
0.1,5,16,2,2176.316402501356,6209639.839540645,2491.914894120713,2558.937505394518,7084370.635359507,2661.6481050956954,9,46235.718017578125,3
0.1,5,16,2,6562.931418119336,49281708.25652509,7020.093180045767,8938.42257728966,81333860.42447975,9018.528728372481,0,46232.3984375,4
0.1,5,16,3,756.5453134902233,1139908.5584945092,1067.6650029360844,2514.963964786908,8690467.246232983,2947.9598447456815,5,39320.99267578125,1
0.1,5,16,3,2194.025710689589,6214707.155583356,2492.931438203497,2621.964084912687,7424700.016052702,2724.8302728890662,0,57057.000244140625,2
