learning_rate,sequence_size,batch_size,hidden_layers,train_score_MAE,train_score_MSE,train_score_RMSE,test_score_MAE,test_score_MSE,test_score_RMSE,epoches_stopped,exec_time,try
0.1,5,16,0,820.8701137592244,1268723.095693806,1126.3760898091746,2713.473241865019,9577832.874713818,3094.807405108405,0,18067.26806640625,1
0.1,5,16,0,882.426052021061,1550740.1816142807,1245.2871884084734,2246.19527313106,6811946.215460207,2609.970539193921,5,11992.838623046875,2
0.1,5,16,0,815.4762544840366,1301290.4992215238,1140.7412060680213,2934.941419079848,10780289.02128332,3283.3350455418527,8,16149.457763671875,3
0.1,5,16,0,951.1113023845328,1633966.0922965999,1278.2668314153348,2532.8153541211386,7991239.772507226,2826.8780965063256,6,13678.865478515625,4
0.1,5,16,1,2670.1958421813233,8832635.176361706,2971.974962270326,1695.279191095057,3862821.2673267084,1965.4061329218214,0,29625.091796875,1
0.1,5,16,1,827.3234630021963,1348490.33225802,1161.2451645789617,2560.785399643655,8402288.241580604,2898.6700815340478,0,30153.327880859375,2
0.1,5,16,1,953.7590112576115,1631941.6667455032,1277.4747225465962,2582.4044789055374,9437106.94430758,3071.9874583577944,8,27224.80908203125,3
0.1,5,16,1,1100.0601828092074,2046753.0600121806,1430.6477763629246,3586.2805909388076,14509943.697131786,3809.192000560196,5,20434.543212890625,4
0.1,5,16,2,927.8528980371947,1641434.0817072312,1281.1846399747506,2277.6201911390212,7517068.12194052,2741.727215085505,7,35192.5361328125,1
0.1,5,16,2,828.1750402669453,1373187.941253376,1171.8310207761936,2649.946335502733,9163040.740279263,3027.0514928357697,0,41536.429443359375,2
0.1,5,16,2,756.3125184941796,1217970.371502696,1103.6169496264074,1962.6456372416826,5753634.43543126,2398.6734741167375,7,35480.38818359375,3
0.1,5,16,2,2796.7632201453343,9166090.984333606,3027.555281796454,2114.6173946827466,5333226.095176693,2309.377858899815,0,41560.932861328125,4
0.1,5,16,3,2690.9709974907446,8843820.422623215,2973.8561536535717,1764.8312083716728,4064481.4559277925,2016.0559158733154,0,50869.920166015625,1
0.1,5,16,3,2632.393134212325,8859300.59872342,2976.457726681738,1568.185366006654,3537413.2295913734,1880.8012201164092,0,51547.024169921875,2
0.1,5,16,3,2751.5070914900325,8975963.959752968,2995.991315032967,1965.711044911478,4743748.937108774,2178.0149074578835,5,35594.88525390625,3
0.1,5,16,3,2670.4073718282984,8832658.501971215,2971.9788865285054,1695.9857025019012,3864788.585107737,1965.9065555381153,8,47271.705322265625,4
0.1,5,32,0,921.4091690045997,1576392.4775820589,1255.544693582056,2923.4982851581512,11024926.67685574,3320.3805018183893,7,9459.037841796875,1
0.1,5,32,0,816.5474848900323,1289204.9563289587,1135.4316167559184,2167.895208865376,6489456.476924962,2547.4411626031647,0,11387.521728515625,2
0.1,5,32,0,1232.3377984064016,2390751.506633509,1546.205518885995,3809.9255974739785,16690364.009817442,4085.3841936612816,9,10996.62060546875,3
0.1,5,32,0,1004.0507426303267,1751511.7135602955,1323.4469062113128,1863.4888394196769,5139747.623235915,2267.1011497584122,0,11193.391357421875,4
0.1,5,32,1,823.8079508872196,1244067.3360593913,1115.3776652145189,2692.9218638861694,9491808.186988367,3080.877827338885,0,19604.422607421875,1
0.1,5,32,1,852.4549597968686,1481196.2020873989,1217.0440427886736,2289.022229891992,7192721.305212455,2681.924925349786,7,16287.817626953125,2
0.1,5,32,1,962.9531079923903,1687690.8393318476,1299.111557693121,2609.396215196174,8612435.374986649,2934.6951076707523,0,19117.13671875,3
0.1,5,32,1,1192.7329521809465,2151385.3524902216,1466.7601550663358,1598.4995681986693,4487108.408887615,2118.2795870440746,5,14192.03662109375,4
0.1,5,32,2,904.0090640523034,1524171.1686671225,1234.573273915778,3078.5032713243822,11991530.469187986,3462.878927884714,6,21275.44091796875,1
0.1,5,32,2,10651.23745191892,122281360.6314188,11058.090279583486,11655.60071308775,138683734.3737841,11776.405834285099,0,27059.630615234375,2
0.1,5,32,2,854.9199882625644,1467592.7324816955,1211.442418145285,2494.406595350048,8452363.067113996,2907.2948022369515,5,20097.57763671875,3
0.1,5,32,2,1059.2522807346088,1889689.986022244,1374.659952869161,1819.044895346483,5314727.92614945,2305.369368701998,6,21424.73095703125,4
