position,found_at_top,learning_rate,sequence_size,batch_size,hidden_layers,train_score_MAE,train_score_MSE,train_score_RMSE,test_score_MAE,test_score_MSE,test_score_RMSE,epoches_stopped,exec_time
1,6,0.001,5,16,1,496.6089074536039,533382.409984927,727.3455571652024,257.4902536228167,102144.34101803898,319.31915943630923,0.0,30772.035766601562
2,12,0.01,5,32,0,546.6145215734178,591639.1754102072,768.8675800242918,395.61224878763664,275662.987121004,515.5661189903452,0.0,11303.094848632812
3,13,0.001,10,16,2,538.4478300656236,599121.6151370641,766.6578251247121,294.7825871491573,142639.6480539949,361.09299019797686,5.5,60215.15509033203
4,17,0.001,5,16,0,580.0759110616315,625865.1020281925,789.8265403306114,434.5885253696084,348564.0819581829,535.7429007257101,1.75,17224.45556640625
5,18,0.01,10,32,0,608.6537260675798,694435.6600214409,830.181444613766,440.2177032574825,324048.70760600286,536.9478167316299,3.25,14678.093566894531
6,20,0.01,5,16,0,517.5944712438034,560461.3608973357,744.4324063582723,474.8321048852335,355892.50781827956,586.9597615205424,5.25,16278.857055664062
7,22,0.001,5,16,3,608.0384678008236,770636.563445221,869.3297166548997,443.45542057141154,332639.9776851743,549.6204730092643,2.75,44983.021545410156
8,23,0.01,5,16,1,565.2368147198503,678953.3051483154,815.9109248210992,470.3667953812827,363967.5486432331,582.6196069200217,3.25,27267.910278320312
9,25,0.001,5,32,1,647.5456016011085,803332.0420483655,890.5380283766856,463.08834004014676,308202.44165313686,548.7640318044047,1.25,18574.746215820312
10,26,0.001,5,16,2,567.2553309502423,636133.9756300413,793.9029311647798,478.19129620998694,387593.54472676315,596.1287554806463,7.75,37777.78009033203
11,27,0.001,10,64,2,641.3768668756547,815810.0260329328,902.812224661245,402.0972231110844,286416.63975996507,522.8426506952744,0.0,29661.8408203125
12,30,0.01,5,32,1,489.8206285501899,519166.8665220915,720.1957772446873,504.76691357052044,404914.0210551147,624.7895509958234,2.25,19232.445434570312
13,31,0.01,5,64,2,635.3336649101462,833120.9342091255,909.2143144201152,494.04622037142053,384965.571737629,596.8285437519903,2.75,18012.82537841797
14,33,0.001,5,32,0,665.7148577737114,837839.9849440237,902.3472665503629,405.64313441676563,309626.54776530503,544.2417232320124,2.5,9935.399353027344
15,37,0.01,5,16,3,660.3170632935662,889308.3544200844,936.2209095933159,486.97409930087036,418682.04827458493,566.9927754089769,1.25,47543.64929199219
16,40,0.001,5,32,2,703.5321385471331,905098.7733164429,944.9399808801879,434.7063406468334,424588.8818205379,611.9593696933425,4.75,23280.88037109375
17,41,0.01,5,32,2,627.9743243654046,909253.6588213488,925.9755940959049,547.6138666336888,446956.3182855833,641.5179982254501,0.0,26791.88165283203
18,42,0.001,5,64,2,708.6923439597854,913184.5569477039,954.4231877595473,489.3911497050558,436374.83775610954,657.3543174728273,2.25,20324.91552734375
19,45,0.01,15,16,1,685.0852413015323,925545.0720558311,959.1811128974095,483.2244052492581,358683.9118205147,581.1974056097575,3.5,58991.37225341797
20,46,0.01,5,64,0,700.5740136028536,927432.9921698989,955.5679741943848,510.7140636949263,447334.7421594254,643.3078345340301,1.75,8260.527160644531
21,47,0.001,10,32,3,673.7712154347926,933202.9482303828,962.2990396696438,343.5959434504709,187658.1904271358,416.5849107408917,1.25,47574.19152832031
22,48,0.01,10,64,0,676.8929163589315,838892.4478183902,908.7815752855123,590.2961475296155,505219.0208197242,682.8109121664346,2.25,12246.242980957031
23,49,0.01,15,16,2,633.7123482311928,825225.9897322357,900.3098563581929,549.9148666462573,505711.9462329962,633.9417031698998,2.25,92107.72814941406
23,49,0.001,5,64,0,727.014110022454,940950.2621785277,969.7987614321767,425.91696022991914,338581.1731609556,576.272200057628,6.5,7089.326171875
24,52,0.01,15,64,0,718.9795169240082,960563.5133525275,966.9568408937566,568.8038019950491,518166.38782444154,706.8744695170083,4.5,13363.453247070312
25,53,0.01,15,32,1,723.0992538745106,981741.6641893198,982.1981583283981,427.5450317952701,329152.02833091916,521.811183176398,2.0,39509.330078125
