position,found_at_top,learning_rate,sequence_size,batch_size,hidden_layers,train_score_MAE,train_score_MSE,train_score_RMSE,test_score_MAE,test_score_MSE,test_score_RMSE,epoches_stopped,exec_time
1,10,0.001,15,16,1,674.5988507523793,930540.6684791509,962.7618446228112,2135.970840062818,6606413.116912667,2560.7636578879874,2.75,53754.055236816406
2,18,0.001,10,32,0,739.1144688558417,1066212.526478527,1032.4476315072116,2200.177943897808,7092154.132766521,2602.643083036656,2.0,16076.411010742188
3,20,0.001,10,64,1,786.0858161392632,1230169.8602088084,1108.2146460750264,2229.7137712924964,6720981.197838353,2579.769330012224,0.0,21344.25146484375
4,24,0.01,5,64,0,822.5994393563699,1253611.5756545493,1118.2231022663427,2210.8416423110148,6727467.850290625,2576.99266797379,2.0,8816.580871582031
5,25,0.001,15,32,0,743.143976013949,1080252.2750381762,1036.9642287880276,2336.183638123607,7200607.814430274,2641.948601682499,3.75,20083.747985839844
5,25,0.001,15,64,0,805.62291919469,1272345.5772716505,1126.9895473082704,2281.8373657149345,7106552.056779004,2651.815412809231,0.0,15814.673217773438
6,27,0.001,15,64,1,794.2688787028294,1276056.754545724,1127.8833536340157,2284.2568805159126,7190114.690787362,2674.4895322107786,6.0,26577.541015625
7,29,0.001,10,64,0,804.3094108631504,1280774.086844795,1131.0299100575908,2199.412447469335,6716478.671991646,2573.1987232315446,3.75,11332.013061523438
8,30,0.01,15,64,1,791.6921424867764,1230908.7027919285,1105.2093996934764,2324.7810062978892,7348143.401534252,2701.7146128641944,3.75,27663.86553955078
9,31,0.001,5,16,1,830.4396208754029,1287039.1955370058,1131.5470514326257,2244.727409902908,7253038.640929433,2620.4589874398825,5.5,26958.590454101562
10,34,0.001,10,32,1,784.1193907320526,1227709.9348012365,1104.5761142350152,2334.564443445627,7422056.965086702,2705.4110670954287,3.75,27426.907836914062
11,35,0.01,5,16,1,709.564603063757,1073900.9099827572,1036.0847818754632,2265.3552391154944,7437448.282606468,2726.39599720606,3.0,26433.760986328125
11,35,0.001,5,16,2,813.4211564497655,1314424.1596855852,1140.130960919112,2271.939961618361,7415390.961822767,2685.131898611303,3.0,36682.38543701172
12,36,0.001,5,64,1,824.7588700360174,1316465.157978438,1146.0222227247239,2120.528946343007,6592005.688448785,2519.1566635841064,2.0,14307.500671386719
13,39,0.001,10,16,0,714.578639631025,1002144.9452555175,1000.6328497752331,2375.812577049034,7599422.059521238,2714.8784978050226,3.75,25378.819702148438
14,43,0.001,10,64,3,790.1533713055668,1352818.7960154167,1160.9727020189673,2259.298608679973,7633348.1661000885,2758.0383753566566,4.25,35273.51727294922
15,44,0.001,5,16,0,717.5780667758236,1024745.3420146948,1010.9067910805315,2396.6378381432396,7788313.616475858,2789.753712043115,5.25,16310.072326660156
16,45,0.001,15,16,2,736.614702325207,1152021.5357102444,1070.820372762682,2357.3159462174176,7815396.687450985,2789.332909681645,5.0,76089.439453125
17,46,0.001,5,32,3,813.8927217144916,1274342.1998172663,1128.352263270274,2386.8742414755825,7824162.899561238,2791.4961733939062,3.25,30931.17822265625
18,47,0.001,10,16,1,772.3268160849659,1174842.0775139388,1083.3709984190946,2396.297932046305,7954018.933129763,2807.489248626553,7.5,41415.30340576172
19,48,0.0001,15,16,0,823.3084267036563,1366128.3906975877,1168.5463972479945,2114.8152860182445,6293982.106901653,2507.006687824478,1.75,33799.266845703125
20,49,0.001,5,64,0,834.9629742091372,1366243.1027965455,1168.7778745749124,2369.75608205139,7327697.628039956,2705.454782185803,5.75,8518.485656738281
21,51,0.01,15,64,0,881.300124782294,1383513.1263311298,1170.0275485900834,2074.712704942527,5876760.569582341,2405.547393979841,1.75,15952.256408691406
22,52,0.01,10,16,0,853.1809423063183,1342613.415410158,1156.9742771247948,2479.583642237704,8105243.044044371,2833.8876395871057,6.5,23405.26904296875
22,52,0.01,10,32,1,808.1455735723065,1389177.4956907153,1175.610460631546,2298.3591694614925,7508133.487974091,2726.8859318209534,4.75,26808.765686035156
23,53,0.001,5,32,0,817.390962407458,1285932.025637831,1132.8459487996543,2467.5478427509806,8113736.057821251,2827.8153438391,5.0,9848.837951660156
