double_LSTM,sequence_size,epoches,batch_size,trainScoreMAE,trainScoreMSE,trainScoreRMSE,testScoreMAE,testScoreMSE,testScoreRMSE,start_time,end_time
FALSE,5,7,64,1246.980752,1554960.996,1246.980752,26.09227484,680.8068065,26.09227484,1.68E+12,1.68E+12
FALSE,5,8,16,1214.495157,1474998.485,1214.495157,101.6499127,10332.70474,101.6499127,1.68E+12,1.68E+12
FALSE,5,8,16,69.90352514,4886.502827,69.90352514,79.80516547,6368.864435,79.80516547,1.68E+12,1.68E+12
FALSE,5,8,16,120.0260837,14406.26078,120.0260837,22.37010687,500.4216816,22.37010687,1.68E+12,1.68E+12
FALSE,5,8,16,1193.248086,1423840.995,1193.248086,61.45848578,3777.145475,61.45848578,1.68E+12,1.68E+12
FALSE,5,8,16,590.5754788,348779.3961,590.5754788,47.46141547,2252.585958,47.46141547,1.68E+12,1.68E+12
FALSE,5,8,32,382.8928616,146606.9434,382.8928616,32.60743219,1063.244634,32.60743219,1.68E+12,1.68E+12
FALSE,5,8,32,762.7934963,581853.9181,762.7934963,52.49756891,2755.994741,52.49756891,1.68E+12,1.68E+12
FALSE,5,8,32,22.23880884,494.5646188,22.23880884,41.87647516,1753.639172,41.87647516,1.68E+12,1.68E+12
FALSE,5,8,32,1227.401651,1506514.812,1227.401651,61.66307562,3802.334896,61.66307562,1.68E+12,1.68E+12
FALSE,5,8,32,1559.598672,2432348.018,1559.598672,69.23973578,4794.141011,69.23973578,1.68E+12,1.68E+12
FALSE,5,8,64,1370.573404,1878471.455,1370.573404,397.2397564,157799.4241,397.2397564,1.68E+12,1.68E+12
FALSE,5,8,64,738.846719,545894.4742,738.846719,121.2275494,14696.11873,121.2275494,1.68E+12,1.68E+12
FALSE,5,8,64,1314.483926,1727867.992,1314.483926,67.28467828,4527.227931,67.28467828,1.68E+12,1.68E+12
FALSE,5,8,64,1013.451944,1027084.842,1013.451944,129.1406353,16677.30369,129.1406353,1.68E+12,1.68E+12
FALSE,5,8,64,152.7030857,23318.23238,152.7030857,334.4145611,111833.0987,334.4145611,1.68E+12,1.68E+12
FALSE,5,9,16,441.5295017,194948.3009,441.5295017,37.01610297,1370.191879,37.01610297,1.68E+12,1.68E+12
FALSE,5,9,16,339.6933201,115391.5517,339.6933201,86.78028375,7530.817648,86.78028375,1.68E+12,1.68E+12
FALSE,5,9,16,830.3579495,689494.3242,830.3579495,60.00049859,3600.059831,60.00049859,1.68E+12,1.68E+12
FALSE,5,9,16,307.0583103,94284.80592,307.0583103,52.02051813,2706.134306,52.02051813,1.68E+12,1.68E+12
FALSE,5,9,16,1368.010415,1871452.496,1368.010415,104.4516705,10910.15146,104.4516705,1.68E+12,1.68E+12
FALSE,5,9,32,141.9338772,20145.2255,141.9338772,78.19874078,6115.04306,78.19874078,1.68E+12,1.68E+12
FALSE,5,9,32,1226.568887,1504471.234,1226.568887,36.47264594,1330.253902,36.47264594,1.68E+12,1.68E+12
FALSE,5,9,32,901.9380276,813492.2056,901.9380276,70.22461969,4931.49721,70.22461969,1.68E+12,1.68E+12
FALSE,5,9,32,1377.778848,1898274.554,1377.778848,136.5615131,18649.04687,136.5615131,1.68E+12,1.68E+12
FALSE,5,9,32,891.1912014,794221.7575,891.1912014,188.8847553,35677.45079,188.8847553,1.68E+12,1.68E+12
FALSE,5,9,64,1223.094766,1495960.806,1223.094766,112.5053814,12657.46085,112.5053814,1.68E+12,1.68E+12
FALSE,5,9,64,1311.290323,1719482.31,1311.290323,144.4785259,20874.04446,144.4785259,1.68E+12,1.68E+12
FALSE,5,9,64,1456.113565,2120266.713,1456.113565,42.59325141,1814.185065,42.59325141,1.68E+12,1.68E+12
FALSE,5,9,64,474.4433201,225096.464,474.4433201,90.59229547,8206.963998,90.59229547,1.68E+12,1.68E+12
FALSE,5,9,64,1051.889688,1106471.915,1051.889688,302.5205181,91518.66389,302.5205181,1.68E+12,1.68E+12
FALSE,5,10,16,582.6282131,339455.6347,582.6282131,124.9790142,15619.754,124.9790142,1.68E+12,1.68E+12
FALSE,5,10,16,707.3579495,500355.2687,707.3579495,220.6601666,48690.90911,220.6601666,1.68E+12,1.68E+12
FALSE,5,10,16,709.2632229,503054.3194,709.2632229,130.6767681,17076.41773,130.6767681,1.68E+12,1.68E+12
FALSE,5,10,16,619.9267971,384309.2338,619.9267971,58.39940375,3410.490358,58.39940375,1.68E+12,1.68E+12
FALSE,5,10,16,842.7336819,710200.0586,842.7336819,83.11719781,6908.468572,83.11719781,1.68E+12,1.68E+12
FALSE,5,10,32,1363.258218,1858472.969,1363.258218,221.362315,49001.2745,221.362315,1.68E+12,1.68E+12
FALSE,5,10,32,219.9602444,48382.50911,219.9602444,18.98633844,360.4810473,18.98633844,1.68E+12,1.68E+12
FALSE,5,10,32,1236.764932,1529587.497,1236.764932,50.90770453,2591.594381,50.90770453,1.68E+12,1.68E+12
FALSE,5,10,32,1224.527139,1499466.714,1224.527139,30.07762641,904.6636102,30.07762641,1.68E+12,1.68E+12
FALSE,5,10,32,573.1040432,328448.2444,573.1040432,105.0463764,11034.7412,105.0463764,1.68E+12,1.68E+12
FALSE,5,10,64,181.8664158,33075.39318,181.8664158,249.8545025,62427.27242,249.8545025,1.68E+12,1.68E+12
FALSE,5,10,64,241.0010159,58081.48965,241.0010159,260.4897564,67854.91319,260.4897564,1.68E+12,1.68E+12
FALSE,5,10,64,244.7761624,59915.36966,244.7761624,59.87159234,3584.60757,59.87159234,1.68E+12,1.68E+12
FALSE,5,10,64,1301.837686,1694781.36,1301.837686,50.20850641,2520.894116,50.20850641,1.68E+12,1.68E+12
FALSE,5,10,64,1069.454873,1143733.726,1069.454873,238.5048931,56884.58404,238.5048931,1.68E+12,1.68E+12
FALSE,10,5,16,114.5990083,13132.93271,114.5990083,65.90106831,4342.950805,65.90106831,1.68E+12,1.68E+12
FALSE,10,5,16,532.2906401,283333.3256,532.2906401,7.977728469,63.64415152,7.977728469,1.68E+12,1.68E+12
FALSE,10,5,16,228.9234526,52405.94716,228.9234526,67.76983013,4592.749875,67.76983013,1.68E+12,1.68E+12
FALSE,10,5,16,103.4693511,10705.90661,103.4693511,183.6144472,33714.26523,183.6144472,1.68E+12,1.68E+12
FALSE,10,5,16,165.1407378,27271.46327,165.1407378,138.013373,19047.69113,138.013373,1.68E+12,1.68E+12
FALSE,10,5,32,1532.970328,2349998.025,1532.970328,183.0490175,33506.94282,183.0490175,1.68E+12,1.68E+12
FALSE,10,5,32,1859.479605,3457664.401,1859.479605,67.05254497,4496.043787,67.05254497,1.68E+12,1.68E+12
FALSE,10,5,32,959.4000151,920448.389,959.4000151,133.2247988,17748.84701,133.2247988,1.68E+12,1.68E+12
