position,found_at_top,learning_rate,sequence_size,batch_size,hidden_layers,train_score_MAE,train_score_MSE,train_score_RMSE,test_score_MAE,test_score_MSE,test_score_RMSE,epoches_stopped,exec_time
1,26,0.001,10,64,0,872.35802625,1522602.5135,1233.2611044999999,1351.309729,2608102.959,1612.70850725,6.0,13069.194215
2,34,0.1,5,32,0,908.187710675,1540024.966,1240.8170035,1320.35273625,2579664.7336,1513.338117925,2.25,11832.84265
3,35,0.01,15,64,0,878.0814513,1503189.59825,1223.9332315,1457.068585,2812348.2797499998,1666.182701,7.0,15063.2100225
4,42,0.001,10,32,0,889.8623672,1560458.152,1249.0589905,1417.187495,2981278.802,1722.841868,7.5,17606.8271475
4,42,0.001,5,64,1,914.965778025,1587960.0375,1259.74250575,1416.4042439999998,2726282.58825,1639.529624,3.75,14391.6141975
5,44,0.001,5,32,1,882.1276857,1538042.05525,1239.384527,1538.29757425,3043122.646,1737.50291875,5.0,18218.39099
6,46,0.001,5,32,0,920.866534225,1595345.371,1262.79709875,1558.53664175,3085427.3682500003,1752.44968325,6.75,10951.880797
7,48,0.01,15,32,0,863.189015475,1472952.80925,1211.63810475,1586.336689,3285560.11375,1768.9023775,5.25,20144.8579725
8,49,0.001,10,16,0,869.91259385,1513519.66175,1228.19084975,1555.78756275,3419632.30575,1826.6886249999998,6.5,22276.6369625
8,49,0.001,5,64,2,909.175669725,1621560.707,1272.68726275,1428.45926125,2789304.6755,1661.0013355,6.0,21248.8080425
9,51,0.001,15,64,0,901.055387025,1625950.70025,1274.5301709999999,1288.8410267499999,2542927.6995,1592.637542,7.0,14832.60022
10,52,0.01,5,64,0,892.219702425,1538796.5735,1239.577675,1673.474042,3559308.8527499996,1868.151522,5.5,8995.61157325
11,53,0.001,15,32,0,863.1357089,1440092.93075,1199.2867615,1541.50626925,3560823.1785,1849.2537305,7.25,19328.023315
12,54,0.01,5,32,0,798.9844277,1322992.3025,1149.5439382499999,1723.60290325,3703053.06125,1907.86535275,1.25,10721.13909925
13,55,0.001,10,64,1,881.0634777,1598217.52675,1262.14176075,1650.6341902499998,3739959.35775,1914.02412025,3.25,20822.5024425
14,56,0.001,5,32,3,872.5699473750001,1556333.49475,1247.0780734999998,1645.50365375,3829279.985,1929.04247875,7.0,30723.7767325
15,57,0.001,15,16,0,823.629535625,1308376.8655,1140.408267,1709.72418,3893969.60375,1946.67800275,5.0,32820.6632675
16,58,0.01,10,64,0,885.82675615,1540719.5559999999,1240.3181505,1751.90419875,3911549.863,1971.74895225,2.0,12757.37799
17,59,0.001,10,16,1,874.46393445,1476867.132,1214.21184575,1620.9174795,3913927.4155,1933.1652574999998,6.0,37217.376097500004
17,59,0.001,5,64,0,946.633486075,1705003.4309999999,1305.083504,1489.5471835,2931798.7010000004,1687.34952075,5.75,8816.23767125
18,60,0.001,5,16,0,878.5946188749999,1453491.5455,1204.745275,1751.3996865,3917560.5185000002,1957.77360325,6.5,14487.666625
19,61,0.001,5,16,2,935.3422533749999,1624228.07,1269.44058625,1639.6551785000001,3929980.22875,1887.004527,6.25,36549.6598525
20,62,0.01,10,32,0,916.173575875,1573465.76075,1252.171402,1764.55159525,3969651.8817499997,1991.04538625,4.25,13877.937680000001
20,62,0.0001,5,16,0,968.50641535,1727934.381,1314.503226,1260.54010775,2186473.3680000002,1472.444321,7.5,16113.424072499998
21,63,0.001,15,16,1,820.30221485,1390618.21925,1177.13306525,1651.62822625,3986319.68975,1982.3279555,5.75,49162.0394925
22,64,0.01,5,64,1,844.6414792749999,1421543.9452499999,1191.019222,1746.57425875,4022852.9095,1982.56986325,4.75,13259.0224
22,64,0.0001,10,16,0,948.27359495,1735246.16025,1317.25231775,1226.97822725,2281611.43425,1506.452785,1.25,25617.99347
23,66,0.01,10,32,3,853.91468195,1566507.88925,1248.856005,1620.0491120000002,4032756.75425,1941.75888575,5.0,46556.492125000004
24,67,0.0001,5,16,1,982.66601255,1776347.05725,1332.73434875,1296.11668275,2276939.6675,1505.69901125,6.0,24608.699767500002
25,68,0.01,10,16,1,852.7060264500001,1472841.4764999999,1212.36153475,1734.983961,4121694.1224999996,1999.2580807499999,5.25,43909.3349
