position,found_at_top,learning_rate,sequence_size,batch_size,hidden_layers,train_score_MAE,train_score_MSE,train_score_RMSE,test_score_MAE,test_score_MSE,test_score_RMSE,epoches_stopped,exec_time
1,16,0.01,15,32,0,405.8876510865004,349793.527598581,588.3749066638649,2465.4958795705966,8880707.555970961,2968.3597997278057,2.75,20301.743713378906
2,19,0.01,10,16,2,432.4140794286622,426616.6146317489,650.6408622059839,2485.3635765291697,8647437.173862817,2930.4089882006515,3.5,50363.33544921875
3,21,0.01,10,16,1,445.235024417527,391200.55504537607,621.6005378099777,2432.142494852976,9140015.241639733,3012.5131195038343,3.25,36791.43212890625
3,21,0.01,5,32,1,464.80954603524384,431097.16321067046,654.4099972195452,2504.0037397842984,9118783.364114344,2988.4405912531975,1.25,19609.59521484375
4,22,0.01,15,16,0,477.86585493138045,433452.8501998518,653.4023357965912,2521.2565611182463,8905701.939749943,2973.5937104635136,2.75,33765.140686035156
5,23,0.01,5,16,1,450.41698930004486,427485.05087160954,650.879062927205,2627.0133888220707,9172547.59331175,3025.300119664419,4.5,27588.126037597656
5,23,0.01,5,32,2,448.51070810707347,447527.69029319874,668.4839623128134,2434.271235272088,9124324.462423192,3002.721287697338,4.5,25029.468688964844
6,28,0.01,5,16,0,421.13772174428937,389020.46872290573,621.6189771515844,2595.9995118959587,9678387.850736618,3073.3440528495767,2.0,19530.539794921875
7,30,0.01,5,16,2,413.2914746669823,410152.5072876847,639.4171816411388,2606.345648458368,9749253.522756848,3109.608880660182,1.5,43518.693420410156
8,31,0.01,15,16,1,421.28764581729087,379998.8360623636,615.9051845627693,2625.524057309557,9769702.210086303,3108.0489465636747,6.25,68775.04559326172
9,36,0.01,5,64,1,518.6620967012391,505560.50998791674,705.130924705763,2501.638026350236,9155127.886153057,3011.254362540113,6.5,13276.740661621094
10,38,0.01,10,16,0,415.12326322714745,362845.23724690883,601.2730483447431,2719.665697564483,10227931.276973438,3189.310057587638,5.5,19848.43359375
11,39,0.001,15,16,0,414.4120438397018,346521.33202437987,584.6006934281609,2766.493486545659,10290610.783340959,3202.840811925278,1.25,36624.432189941406
12,40,0.01,15,32,1,406.52837529443315,366326.9803122158,602.2447840722987,2782.958712217714,10348284.304048952,3216.625208742774,2.75,36903.711486816406
13,41,0.01,10,32,0,492.4144304137754,462578.01706246193,668.8885965360912,2643.1784944328056,10372016.49848174,3165.5155797503608,4.25,14507.687561035156
14,43,0.01,5,32,3,466.10224268181406,526464.9350231595,722.8500446377122,2633.7672989658563,9811002.693128135,3095.061126650631,5.0,32739.335876464844
15,44,0.01,15,16,2,410.8593234534747,387693.42273244925,619.9361456327018,2768.42159799001,10509820.70544637,3217.177483987658,3.0,88259.29577636719
16,45,0.01,15,64,0,545.0673933826283,532435.0929421571,729.3288162008552,2596.969247369567,9423431.963279027,3059.49776822467,4.0,13756.287048339844
17,48,0.001,10,32,1,461.05361677154804,394145.689416451,626.0786901657293,2761.9786788301208,10623270.393774102,3256.147547965412,8.25,30211.5859375
18,51,0.01,5,64,3,466.0655457754532,492329.08036727156,699.4381721307902,2594.9234053555856,10794359.327304702,3256.2770393289716,5.0,24426.461547851562
19,53,0.001,10,32,0,449.0312518141553,372315.9412909071,609.6269651822836,2903.9316964108857,10940179.902647328,3305.6157467294156,2.5,15212.515319824219
20,54,0.01,5,32,0,510.69462009093206,499407.1888762143,706.4696329496251,2838.6332277408296,10991339.753254466,3303.8242621888744,5.25,8993.615112304688
20,54,0.01,10,64,2,522.9942633504793,558516.2543777403,745.6772100371712,2690.244289784545,10027681.253270276,3142.004780511507,4.0,25940.485168457028
21,56,0.001,5,16,2,491.0088884924818,468777.18015494494,683.6570009336658,2757.1284069782914,11120650.524670122,3329.114549146076,5.25,40768.0869140625
21,56,0.0001,5,16,0,544.0358315636495,566901.1426795301,752.8229956097739,2783.6932582898507,10542544.413986098,3244.049418284427,5.25,13908.150817871094
22,57,0.001,5,16,3,452.1561324087564,474180.48657387437,688.3509526897666,2798.637087677605,11221447.728740811,3343.5895236848714,6.5,45785.52014160156
22,57,0.01,10,32,1,513.6942650757101,567716.6773155895,743.2370011021192,2624.1921956675696,9700496.89435728,3093.289193368277,5.75,23751.20526123047
