position,found_at_top,learning_rate,sequence_size,batch_size,hidden_layers,train_score_MAE,train_score_MSE,train_score_RMSE,test_score_MAE,test_score_MSE,test_score_RMSE,epoches_stopped,exec_time
1,8,0.01,5,16,0,348.753493750295,226480.24498743843,473.4312779882041,421.3079584855856,444374.8894317405,662.2782320360118,1.25,16511.72149658203
2,13,0.001,10,16,0,296.69371554646443,159232.92378352158,398.86981663732956,524.477912201171,484648.89960908325,695.3787038306848,2.0,26127.227905273438
3,15,0.01,10,16,1,392.765218598295,255468.78156862932,501.41399388791524,371.5586458789288,442287.33156671457,653.6083806105868,6.75,47396.05694580078
4,19,0.001,15,32,0,317.25020577417763,187650.71496707597,432.4746781364069,496.7996057215586,532673.4564010793,725.4101018458558,3.25,19179.07647705078
5,23,0.01,10,16,0,370.39875557681796,241416.49787524415,486.27605388151363,507.2065954221149,547743.7249911058,727.8414098097495,5.25,23527.24139404297
6,25,0.01,15,16,0,388.89988953664147,258857.4387750419,507.2328285728646,566.466887616703,561034.0318789417,743.1416157348767,5.5,32040.558227539062
7,27,0.01,15,32,1,397.0073669738287,274149.37615322566,517.4346977083635,575.3449209553582,565739.333343456,746.5090492116531,1.5,36245.910095214844
8,29,0.01,5,32,0,384.13695313793124,267382.1180546944,516.1463032112022,551.058075001916,576701.1136380913,757.4287870077935,3.5,10443.848266601562
8,29,0.001,15,64,0,402.00104661751175,288123.53060291684,533.8429441661931,463.200250463466,546811.0348208362,733.9258561453389,2.5,13286.612854003906
9,30,0.01,15,64,1,386.07169664300267,268478.14335925144,512.6403817340287,487.3324010682534,577923.4674370833,748.3815860741943,2.25,28379.665283203125
10,32,0.001,5,64,0,407.0991356373332,294665.77445338055,542.8057250951775,518.0483690463552,581970.2192098834,761.0252615760783,6.5,7166.100769042969
11,34,0.01,5,16,1,376.9564448174651,261179.6446001878,510.5121041774262,451.4327411336146,589778.3433259604,764.7016211860969,4.75,25442.911743164062
11,34,0.01,10,64,0,421.4356074248693,310581.578371455,553.1787439523625,445.327292227987,465819.47591834696,679.7341435189333,3.75,11363.81201171875
12,37,0.001,10,32,3,396.24283234104934,305024.99437451095,550.8072843307422,414.68068988047327,603812.5891645264,776.3930413124041,3.0,44920.492248535156
13,38,0.01,15,16,1,409.6128056105045,285942.76419044693,526.0727741554075,570.7157109153949,605499.6088197546,757.1370291775285,0.0,64136.09313964844
14,39,0.001,5,64,3,427.4060496837236,318570.7580425609,563.8706887464209,434.0182827469404,556411.9513167458,737.4333712829192,3.5,23771.67071533203
15,40,0.0001,15,16,0,422.33095738969325,318886.8439195816,562.8089844976154,499.5311274717402,471270.0558313253,681.7194538821916,4.25,27164.603759765625
16,42,0.01,10,32,1,434.3951817592119,321471.87131106644,561.9222563141891,562.9919495339342,585780.4275849835,763.4181895893755,2.75,25068.206420898438
17,44,0.01,15,16,2,422.93781788379334,323137.9908533004,565.7399096157895,430.21502040925543,607332.9287492895,751.3246289202043,6.0,84628.5112915039
18,49,0.01,5,64,1,439.8713457000987,342975.95960659854,583.669115371614,490.04831276812024,561221.6463473361,748.1578880600543,7.25,13096.69921875
19,51,0.0001,10,16,1,441.9392613043219,350019.1583414555,591.1882990809733,535.0716081836613,651130.5123815787,804.5318634308799,6.0,35032.37634277344
20,52,0.01,10,16,2,416.1763615520114,314489.82032698026,548.3134756646245,444.5555534271234,652255.9520109943,789.7045603593147,4.75,54306.40905761719
21,53,0.001,5,16,3,394.5694734343732,285202.76686064707,533.6965542706882,475.52213749300444,657770.1722313006,808.1023051749492,6.25,40819.559143066406
21,53,0.01,15,64,0,449.22332913737165,356086.4194617874,592.439421130324,483.57914941403976,431941.286268688,647.7389024398159,1.5,14816.959106445312
22,55,0.01,5,64,3,444.94256672135225,351086.5185684809,590.926399354478,395.9778184610861,665056.3206491136,809.5537667330724,7.5,23301.050231933594
23,56,0.01,10,64,1,448.5683290324041,363876.4551248272,597.1802563663052,477.9956844150072,590742.2116769201,766.2437187585049,7.75,19533.268005371094
