position,found_at_top,learning_rate,sequence_size,batch_size,hidden_layers,train_score_MAE,train_score_MSE,train_score_RMSE,test_score_MAE,test_score_MSE,test_score_RMSE,epoches_stopped,exec_time
1,1,0.001,15,16,1,221.15528497136347,131082.81008773413,360.82636451143753,212.67068137310628,101650.11984240064,318.49681023794744,0.0,76719.15637207031
2,4,0.001,15,32,1,293.1745408129672,204737.28256680918,450.7690277170865,266.41945799579685,137411.6950923042,369.6674264501852,1.25,40475.077087402344
3,8,0.001,15,16,0,236.13891931462257,154666.75689858024,392.02488767731467,287.9649625097458,157810.91459916596,395.83930105958405,1.5,40124.466735839844
4,13,0.001,10,16,2,319.6609431614836,276025.10996994306,520.004835518344,277.8572036340884,150418.440334169,385.87146572048084,1.5,54265.59735107422
5,14,0.001,15,16,2,295.6386106677953,217918.17739559035,464.51497832189426,289.4180142137748,177873.7618503666,418.2539541520304,1.5,101933.47863769531
6,19,0.001,10,16,1,290.84038713795235,245681.24218344435,489.64870458590633,316.06190640126414,183066.52426188547,424.7900986982899,1.75,42067.205139160156
7,23,0.001,10,16,0,266.20569024890096,185875.57758342495,429.0706006285779,342.1250185154614,197126.34367835187,441.91443805038375,2.0,24216.204223632812
8,24,0.01,5,16,0,367.5229698658442,327502.94005686033,572.0225922528366,332.2504692854288,198323.84953420007,445.0624642409614,5.5,18255.862548828125
9,29,0.001,5,16,2,329.64428290265704,317286.73633446114,560.8371606184083,321.1049267702061,202125.06124996947,447.61009228291283,2.25,50079.171813964844
10,30,0.001,15,64,2,382.9632904550318,335145.21931008913,578.1754620301328,328.5366122838959,205437.48073696517,452.5616300268389,3.75,40585.551696777344
11,32,0.01,15,16,1,384.4883152424107,332917.22996234935,566.823944119811,319.44499384056957,206380.71969367896,447.3535276269781,3.0,66405.78741455078
12,33,0.01,5,32,0,407.36339489170155,345458.08600584615,585.0461372982102,311.04186290065667,180875.67453551354,420.99675050174807,3.0,12024.492614746096
13,36,0.01,10,64,0,391.43121246827025,322155.99145583867,567.1362576843371,348.6592745624869,209574.50070183372,457.78162442195594,4.5,14261.379699707031
14,38,0.001,10,64,1,333.49934056363406,270026.91243380896,519.4718284517986,353.6602203363039,211389.16234857985,459.4827310250823,2.0,24890.17071533203
15,39,0.01,15,64,0,393.24000826003254,314712.0261543078,559.1743610272907,341.4671242020495,211597.34687570285,459.74325119648717,0.0,18818.299560546875
15,39,0.001,15,16,3,365.96733068992216,373786.7953389754,609.8598816805236,289.0523988580883,170970.9989826039,411.13611226255557,2.0,132553.12506103516
16,41,0.01,10,32,1,421.377643972463,376180.38838341756,607.1213419680887,300.53543537935775,179582.87012715527,419.0457728558143,3.5,31749.833984375
17,42,0.001,5,32,2,366.61121857701266,356603.0500127791,596.7719692779982,335.2600284591726,217487.80106653477,465.8193853997849,2.25,31572.184020996094
18,43,0.001,10,16,3,348.3028095635925,379455.46693073696,615.6383904412264,291.6023039568088,168304.63712721207,408.6266437901609,1.5,67691.80126953125
19,44,0.001,5,32,3,393.5079226432638,381816.7309143076,617.5633020911805,336.1242528942068,200499.15271612763,447.1032407219319,0.0,39337.57598876953
20,45,0.001,15,32,2,335.00080043131493,305435.8757273639,549.8568496695976,350.4055403229387,221181.03621390733,466.31720109573916,3.0,54177.445251464844
21,46,0.001,15,64,1,379.8295170549125,358976.2541531595,598.1441730821487,356.40977326174516,221362.94925419125,469.8583909409531,5.5,28543.9013671875
21,46,0.01,5,32,1,398.8040921303204,385968.0970703362,617.57896322037,333.6833819197726,215751.37435363172,460.06259087691217,5.5,20819.82098388672
22,47,0.001,15,32,0,333.71698815610955,254669.12798599235,503.5816984291118,354.51704226003613,222238.6067674443,466.6401955149138,4.0,19585.1943359375
23,48,0.001,10,32,1,309.26096842953575,246622.26899828116,491.8544617833336,357.8398067891017,222281.26034098666,463.59668275095197,3.0,30300.55157470703
24,49,0.001,10,32,0,326.20295036678226,251822.4334273709,499.39902766316754,362.7128787218645,222596.74127500685,465.9428477002164,3.0,17174.055541992188
