position,found_at_top,learning_rate,sequence_size,batch_size,hidden_layers,train_score_MAE,train_score_MSE,train_score_RMSE,test_score_MAE,test_score_MSE,test_score_RMSE,epoches_stopped,exec_time
1,13,0.01,10,32,0,813.501312525,1156669.3985000001,1072.92216125,725.706832675,797656.236175,880.32194465,3.75,13434.859985000001
2,16,0.001,5,16,1,793.479540775,1120774.899175,1057.396750925,730.5839561,917571.3909750001,938.266195225,2.5,29333.274047500003
3,23,0.001,5,32,1,878.9150204,1295240.65925,1137.98866075,732.294727475,876283.692075,929.90515875,3.75,16428.8950825
4,27,0.001,15,16,3,803.7200195,1269852.0214,1121.42482265,802.96040305,1072045.429525,1016.77361265,4.0,90022.21709
5,31,0.01,15,16,0,884.51684605,1335386.44325,1152.7246639999998,689.2837714249999,804596.459225,888.15993205,5.75,25946.141662500002
6,32,0.001,10,32,1,882.329962925,1324758.88625,1147.8430725,844.8709067,1103609.819625,1037.72525445,4.0,23105.165282500002
7,35,0.001,15,16,1,678.59438465,881118.23355,931.481276875,904.197766475,1124680.737675,1049.587102575,3.5,58847.5852675
7,35,0.01,15,64,0,891.494222975,1357995.54625,1163.2674835,797.8122358749999,929681.932425,960.2433129,5.25,14187.7874175
8,37,0.01,5,64,2,833.7443181,1258220.334075,1112.7207366,858.2738176,1132055.278675,1055.757797125,1.5,22297.6293925
9,40,0.01,5,32,1,758.91765375,1051653.8717,1024.964756225,913.883247175,1147117.188025,1057.42720605,3.25,19024.0607925
10,41,0.001,10,16,1,717.37451055,959699.965475,978.94909405,869.4429601,1153683.1909750002,1044.150681925,3.5,46231.7322375
11,42,0.001,15,64,1,904.618710925,1422931.24025,1192.64630325,763.26716935,842186.414675,916.4447260750001,5.0,20380.5476675
12,45,0.001,15,16,2,776.3633575,1144534.309175,1064.2393447499999,921.83033755,1187286.15255,1073.5972439749999,4.25,73181.4354875
13,46,0.001,5,32,0,951.9740013750001,1448927.8405,1201.75825325,863.0298343,1090493.4635,1043.49028,5.0,9475.310057499999
14,47,0.01,10,32,1,745.2884849750001,1055951.1271249999,1022.252288075,907.086775075,1220995.839975,1085.066610725,5.25,28494.958985
14,47,0.001,10,64,1,940.654026425,1453764.85075,1205.5864080000001,882.5603383499999,1082343.169825,1035.285249025,5.0,15567.79309
15,49,0.001,15,32,2,807.062058375,1204475.656,1096.780265,870.0560810000001,1225264.286625,1085.428215875,4.25,47321.640565
16,50,0.001,10,16,0,736.9107809249999,983585.8761,987.4237125249999,905.950337475,1226241.1286749998,1077.4050248,3.0,24984.1023525
16,50,0.001,5,32,2,947.5512954,1464083.342,1209.8938712499998,926.195136525,1164812.145,1078.72494325,5.0,21757.2684325
17,51,0.01,5,16,1,820.956973875,1182939.81475,1087.1061125,936.58901065,1226592.4054999999,1105.840038,6.25,26706.7140525
18,52,0.001,5,64,0,967.3561464750001,1483347.573,1217.189746,857.768650475,1100277.5268,1044.9491323749999,5.5,7641.65966775
19,53,0.001,10,64,0,957.3154548499999,1485354.1365,1218.4394145,894.20253895,1055913.91375,1022.974668025,5.0,8806.47631825
20,54,0.001,10,32,0,861.3522765,1297968.099275,1132.336064675,867.071038925,1235643.487875,1075.5552076,4.25,13353.72998
21,55,0.001,5,64,1,972.209982125,1487686.79975,1219.56927125,897.41960655,1114228.126425,1054.3397979249999,5.5,12967.811525000001
22,57,0.01,10,16,0,891.222517375,1356966.6685000001,1157.68022075,931.234413225,1247734.07625,1105.6149733749999,5.25,20743.555175
23,58,0.01,5,32,2,868.1557445,1308603.84175,1143.62564875,875.983369725,1250382.557925,1110.475646325,3.75,25381.92468
24,60,0.001,15,64,0,905.572361325,1373010.12275,1171.2699895,948.318402675,1271217.8530000001,1124.40324715,5.25,11530.627135
25,61,0.001,5,16,0,751.48597175,1039346.218625,1017.568911625,856.241482925,1287603.0335,1116.3865394,3.5,19956.19519
26,63,0.01,15,16,1,899.07442155,1377511.71085,1166.2397277999999,946.58080235,1294964.6683,1126.145560225,5.0,41288.4151625
27,66,0.001,5,16,2,890.523076375,1375354.59625,1167.12822375,959.544110825,1320209.96945,1138.7434622,4.25,38363.6068725
27,66,0.0001,15,16,1,1004.630933725,1670379.49525,1292.404865,1005.8100489,1294350.5905,1133.19916225,5.0,41504.63568
