sog,stw,head,wspeedms,wspeedbf,wdir,drafta,draftf,trim,me_power
10.05343333,9.999693333,155.6378137,5.647087667,3.566666667,203.001427,9.993278333,7.581056667,-2.412221667,3055.787224
10.08096667,10.009225,155.36955,5.614513,3.483333333,201.9630543,9.992053333,7.582156667,-2.409896667,3054.675002
10.10598333,10.02045,154.6650633,5.572981333,3.383333333,200.735152,9.992871,7.583103333,-2.409767667,3054.356391
10.12506667,10.02865667,153.9003047,5.520698,3.283333333,200.2093437,9.996518667,7.583623333,-2.412895333,3054.705001
10.13793333,10.02922333,153.354559,5.458996333,3.183333333,200.2118743,10.000292,7.582283333,-2.418008667,3055.687779
10.1502,10.02907,152.8799473,5.391221333,3.12,200.1618183,10.00209867,7.580976667,-2.421122,3056.925001
10.1487,10.03420167,152.3922493,5.315693,3.106666667,199.841177,10.00236533,7.581196667,-2.421168667,3055.587222
10.13086667,10.03509333,151.8968167,5.231484667,3.106666667,199.2764003,10.003532,7.580936667,-2.422595333,3053.747223
10.10493333,10.02366667,151.401529,5.139049,3.106666667,198.6354887,10.00901533,7.579715,-2.429300333,3054.632223
10.076,9.997713333,150.8995067,5.033363,3.07,198.2272903,10.00742867,7.581253333,-2.426175333,3058.780556
10.06486667,9.977193333,150.2684917,4.919272,3.016666667,199.3819917,10.003812,7.58203,-2.421782,3063.048889
10.071,9.964515,149.6658797,4.810102,3,202.2524967,9.999580333,7.581251667,-2.418328667,3066.424999
10.08753333,9.94863,149.2964047,4.709376667,3,205.4008993,9.994462667,7.58272,-2.411742667,3069.995275
10.11413333,9.93391,148.9983353,4.619519333,3,207.9176017,9.989316667,7.585588333,-2.403728333,3073.062774
10.1386,9.924983333,148.6855373,4.539197,3,209.975523,9.982885,7.586251667,-2.396633333,3075.714996
10.1504,9.91927,148.3752723,4.464741667,3,212.0855513,9.981793333,7.585116667,-2.396676667,3076.862218
10.14496667,9.902265,148.059561,4.391969,3,214.6828097,9.980066667,7.58471,-2.395356667,3078.716663
10.1322,9.878628333,147.8049553,4.318814,3,218.1892507,9.968366667,7.587316667,-2.38105,3083.277774
10.1182,9.862243333,147.6098,4.251545333,3,222.2339887,9.956926667,7.590005,-2.366921667,3085.933885
10.09326667,9.85063,147.4126097,4.192015333,3,225.998758,9.955276667,7.590393333,-2.364883333,3086.69833
10.05666667,9.83394,147.3405983,4.138063667,3,228.2457147,9.953733333,7.590223333,-2.36351,3089.065552
10.02066667,9.80562,147.414422,4.088599,3,229.418072,9.951418333,7.590975,-2.360443333,3092.967775
10.00133333,9.781776667,147.507602,4.038761667,3,230.913981,9.95071,7.592291667,-2.358418333,3096.716109
9.997466667,9.770016667,147.5988813,3.970253,2.966666667,232.95346,9.951376667,7.592388333,-2.358988333,3098.558887
9.988533333,9.76115,147.6980923,3.879449333,2.883333333,235.472658,9.952141667,7.594565,-2.357576667,3098.503331
9.972066667,9.747563333,147.796306,3.787691667,2.783333333,238.3197623,9.94994,7.59524,-2.3547,3100.19833
9.963,9.734576667,147.9005813,3.707405333,2.683333333,240.9437233,9.949086667,7.594046667,-2.35504,3103.532219
9.968333333,9.722268333,147.9700097,3.638508667,2.583333333,242.8460303,9.953133333,7.593226667,-2.359906667,3105.908886
9.985866667,9.704366667,147.9899007,3.574643333,2.483333333,244.4003217,9.955143333,7.593053333,-2.36209,3108.495553
10.00653333,9.69008,148.0637647,3.511661,2.383333333,245.9708197,9.952893333,7.59226,-2.360633333,3111.333331
10.02,9.676183333,148.7275827,3.446395667,2.283333333,247.692345,9.952873333,7.591043333,-2.36183,3116.052219
10.02553333,9.668736667,149.8017027,3.381013667,2.183333333,249.5494837,9.950763333,7.591771667,-2.358991667,3119.200552
10.0114,9.6625,150.715935,3.32485,2.083333333,251.2011107,9.949315,7.590275,-2.35904,3119.403885
9.9708,9.643636667,151.116429,3.296575,2.016666667,252.412723,9.950865,7.587313333,-2.363551667,3120.665553
9.927533333,9.618026667,150.8917853,3.292452333,2,253.0968087,9.950860333,7.584467667,-2.366392667,3124.465109
9.898016667,9.599025,150.6102963,3.284969667,2,253.319874,9.949135667,7.586000333,-2.363135333,3128.099665
9.877966667,9.593983333,150.440412,3.267363333,2,253.3026893,9.948067333,7.589008667,-2.359058667,3128.285775
9.8477,9.599456667,150.41028,3.236376333,2,253.546006,9.950570667,7.588038667,-2.362532,3127.124108
9.7945,9.605063333,150.5688843,3.191288667,2,254.0987717,9.954690667,7.586645333,-2.368045333,3127.815219
9.7355,9.60799,150.7365513,3.137374,2,254.590645,9.958437333,7.585658667,-2.372778667,3128.176886
9.675166667,9.61477,150.2012147,3.078192333,2,254.8553977,9.958397333,7.585628667,-2.372768667,3125.988553
9.616033333,9.62353,149.109813,3.012660667,2,254.8564277,9.960307333,7.584073667,-2.376233667,3124.64522
9.567366667,9.635036667,148.121616,2.935528,2,254.725794,9.960595667,7.583877,-2.376718667,3123.736886
9.5301,9.64572,147.6375177,2.845793667,2,254.4921173,9.954345667,7.587752,-2.366593667,3121.986887
9.5071,9.645656667,147.8651573,2.756073333,2,254.741927,9.947957,7.592117667,-2.355839333,3120.881221
9.496683333,9.642785,148.4866413,2.675533667,2,255.7380567,9.948841667,7.591611667,-2.35723,3119.65
9.486866667,9.63738,149.367583,2.589353333,2,256.7484597,9.954843333,7.588323333,-2.36652,3118.461113
9.483066667,9.624186667,150.200307,2.489796333,2,256.897795,9.953386667,7.59018,-2.363206667,3117.422225
9.5024,9.613653333,150.8001057,2.38579,2,256.264972,9.9499,7.593586667,-2.356313333,3114.986114
9.540266667,9.603724,151.414875,2.275782333,1.953333333,255.6805393,9.950466667,7.594953333,-2.355513333,3113.103337
9.575533333,9.580661333,153.2124453,2.158192667,1.856666667,255.1856077,9.955116667,7.595936667,-2.35918,3113.89167
9.604333333,9.554361333,156.094319,2.030053333,1.756666667,255.006113,9.957746667,7.597846667,-2.3599,3114.605003
9.635733333,9.538474667,159.041319,1.890467333,1.656666667,255.33868,9.958026667,7.598756667,-2.35927,3113.715003
9.6514,9.531141333,162.029321,1.748101467,1.556666667,255.8521547,9.961175,7.598696667,-2.362478333,3110.591391
9.620533333,9.519908,164.9570507,1.599033133,1.456666667,256.0533703,9.965145,7.598758333,-2.366386667,3103.175002
9.5328,9.489081333,167.5523793,1.440267267,1.356666667,255.7760527,9.963471667,7.600853333,-2.362618333,3093.06389
9.413733333,9.451828,169.7637187,1.285148933,1.256666667,255.6675127,9.956813333,7.604076667,-2.352736667,3084.491111
9.2904,9.420481333,171.8626613,1.144035667,1.143333333,256.4964047,9.956578333,7.604405,-2.352173333,3077.778888
9.1654,9.396508,174.0025273,1.001474033,0.98,259.1501813,9.957928333,7.603296667,-2.354631667,3070.564999
9.036466667,9.379864,176.0578907,0.863517033,0.826666667,264.0646707,9.956303333,7.602853333,-2.35345,3064.641109
8.9238,9.379966667,177.1198527,0.750147367,0.723333333,269.6363493,9.95426,7.603636667,-2.350623333,3057.664442
8.8304,9.390026667,177.3341053,0.668798533,0.673333333,259.9899163,9.95409,7.603573333,-2.350516667,3049.510553
8.7416,9.400493333,177.542096,0.6203682,0.673333333,236.0884413,9.95559,7.602703333,-2.352886667,3043.111663
8.673266667,9.416593333,177.7324893,0.5961899,0.673333333,213.0279557,9.953915,7.602263333,-2.351651667,3040.089719
8.645816667,9.44432,177.8955347,0.599874667,0.673333333,190.6741453,9.954265,7.601155,-2.35311,3042.469441
8.6649,9.484038333,178.0593613,0.642978333,0.673333333,169.1851667,9.958991667,7.597753333,-2.361238333,3049.016664
8.7259,9.528703333,178.255137,0.723056,0.7,148.1982003,9.962799333,7.594485,-2.368314333,3055.839997
8.809566667,9.57425,178.3023997,0.8338336,0.79,126.9455973,9.961330333,7.595185,-2.366145333,3059.900552
