sog,stw,head,wspeedms,wspeedbf,wdir,drafta,draftf,trim,me_power
8.41985,9.289,167.1501,14.2431,6.5,250.644,12.23682167,8.920386333,-3.316435333,4319.825467
8.41985,9.289,167.1501,14.2431,6.5,250.644,12.24070667,8.921824667,-3.318882,4333.344833
8.41985,9.289,167.1501,14.2431,6.5,250.644,12.24086,8.923831333,-3.317028667,4343.571333
8.41985,9.289,167.1501,14.2431,6.5,250.644,12.23456667,8.923804667,-3.310762,4357.726133
8.41985,9.289,167.1501,14.2431,6.5,250.644,12.23251333,8.922438,-3.310075333,4374.281067
8.41985,9.289,167.1501,14.2431,6.5,250.644,12.2354,8.921331333,-3.314068667,4389.602733
8.41985,9.289,167.1501,14.2431,6.5,250.644,12.23394667,8.922504667,-3.311442,4406.3382
8.41985,9.289,167.1501,14.2431,6.5,250.644,12.233185,8.923459667,-3.309725333,4421.921433
8.41985,9.289,167.1501,14.2431,6.5,250.644,12.23703667,8.922035667,-3.315001,4425.0942
8.41985,9.289,167.1501,14.2431,6.5,250.644,12.239515,8.922266667,-3.317248333,4419.1579
8.41985,9.289,167.1501,14.2431,6.5,250.644,12.23637333,8.923545,-3.312828333,4415.0254
8.41985,9.289,167.1501,14.2431,6.5,250.644,12.23273833,8.922955,-3.309783333,4415.999233
8.41985,9.289,167.1501,14.2431,6.5,250.644,12.23653333,8.923276667,-3.313256667,4417.343167
8.41985,9.289,167.1501,14.2431,6.5,250.644,12.24322333,8.923003333,-3.32022,4410.675967
8.41985,9.289,167.1501,14.2431,6.5,250.644,12.24289667,8.92347,-3.319426667,4402.0048
8.41985,9.289,167.1501,14.2431,6.5,250.644,12.240881,8.924594333,-3.316286667,4394.9881
8.41985,9.289,167.1501,14.2431,6.5,250.644,12.24215867,8.924625333,-3.317533333,4381.477567
8.41985,9.289,167.1501,14.2431,6.5,250.644,12.24086033,8.926383667,-3.314476667,4365.380867
8.41985,9.289,167.1501,14.2431,6.5,250.644,12.23575533,8.929618667,-3.306136667,4359.7369
8.41985,9.289,167.1501,14.2431,6.5,250.644,12.23377033,8.932472,-3.301298333,4359.386933
8.41985,9.289,167.1501,14.2431,6.5,250.644,12.23813867,8.932680333,-3.305458333,4358.700367
8.41985,9.289,167.1501,14.2431,6.5,250.644,12.24158033,8.932163667,-3.309416667,4355.9265
8.41985,9.289,167.1501,14.2431,6.5,250.644,12.23920533,8.932308667,-3.306896667,4348.7232
