sog,stw,head,wspeedms,wspeedbf,wdir,drafta,draftf,trim,me_power
9.2424,8.608171333,67.23091667,12.72567467,6,13.43436426,8.694348333,16.719304,8.024959333,6495.534707
9.193216667,8.623368667,67.66936933,12.78367667,6,41.77108381,8.711195333,16.70960833,7.998411667,6488.20772
9.147233333,8.635114333,68.183416,12.84233767,6,77.29547181,8.720977333,16.70322867,7.982249667,6481.434072
9.110366667,8.642014333,68.951416,12.88567,6,112.8592261,8.723210333,16.698818,7.975607,6478.138049
9.0797,8.646983333,69.925347,12.916584,6,137.6846064,8.722989667,16.69459467,7.971605,6490.435342
9.075166667,8.694838333,70.63201133,12.942236,6,149.3953093,8.722275,16.689953,7.967678333,6559.21741
9.1003,8.777152333,71.046745,12.95921733,6,155.2057466,8.720678667,16.68212733,7.961449,6673.519354
9.126083333,8.854787333,71.243193,12.97602333,6,156.2814411,8.717295667,16.67464033,7.957345333,6784.882319
9.143866667,8.926957667,71.30263733,12.997313,6,156.2178503,8.712597,16.67242367,7.959827667,6895.301921
9.164066667,8.999208333,71.28149567,13.02477467,6,156.253282,8.706914333,16.66976167,7.962848667,7004.376075
9.1924,9.080237,71.058422,13.05729733,6,145.6119563,8.700651,16.672029,7.971380333,7110.691344
9.227716667,9.163821333,70.581171,13.106107,6,117.0104964,8.695468,16.67885733,7.983393,7219.624119
9.2675,9.243951667,70.001723,13.17641567,6,81.21159573,8.691156,16.68539033,7.994238667,7334.781014
9.318966667,9.326125333,69.467458,13.25487167,6,45.4432844,8.686709333,16.68846367,8.001759667,7448.590395
9.374866667,9.404208,69.01077733,13.33754033,6.003333333,20.49489879,8.681036333,16.68441967,8.003388667,7545.436708
9.3967,9.444775,68.715295,13.42156467,6.006666667,8.755467553,8.672514,16.68260967,8.010099333,7580.159736
9.3841,9.451171333,68.55749967,13.507973,6.023333333,3.034627927,8.660507,16.68528167,8.024777,7571.39703
9.377116667,9.461812667,68.46618667,13.605636,6.09,2.123666067,8.645819,16.68501267,8.039194333,7566.486694
9.395,9.488132667,68.45613367,13.71674433,6.19,2.386567267,8.629271,16.67942867,8.050157667,7558.268184
9.425533333,9.516478667,68.576067,13.830018,6.29,2.617616,8.612242333,16.67843,8.066189333,7551.247915
9.4572,9.538330667,68.87940167,13.93662433,6.39,2.827609333,8.59561,16.67517367,8.079566667,7558.378201
9.495666667,9.563882667,69.253603,14.02089267,6.49,3.063131667,8.579283333,16.66776067,8.088481667,7574.424789
9.531533333,9.586243,69.566338,14.07624367,6.59,3.341277333,8.563805,16.657701,8.093899333,7592.100178
9.538466667,9.598385333,69.79627067,14.117098,6.69,3.617135,8.549521333,16.645263,8.095741667,7615.228692
9.520033333,9.607245667,69.87795633,14.15581233,6.786666667,3.902740667,8.536602333,16.635394,8.098789,7645.80688
9.514666667,9.615006667,69.750777,14.197828,6.883333333,4.216109,8.524904667,16.62572933,8.100820333,7683.258797
9.537066667,9.636751,69.494039,14.239949,6.966666667,4.516904667,8.515289333,16.619018,8.103724667,7712.035876
9.565066667,9.667049667,69.16443467,14.26706633,7,4.767883,8.508502667,16.61864533,8.110139,7732.291047
9.574483333,9.680972,68.67790433,14.26528467,7,4.984700667,8.50405,16.620268,8.116212333,7759.181861
9.5765,9.689921333,68.08096967,14.24304067,7,5.178808333,8.501318667,16.61848433,8.117158,7792.124442
