sog,stw,head,wspeedms,wspeedbf,wdir,drafta,draftf,trim,me_power
1.692149933,1.7078244,93.824984,9.408370667,5.013333333,285.3039163,5.192299,17.249233,12.05693467,1855.285073
1.652183267,1.6627724,87.695286,8.387272333,4.653333333,278.544021,5.191309667,17.23792167,12.04661267,1839.880982
1.742999933,1.783571367,83.411668,7.778801,4.44,273.0117707,5.189095667,17.247052,12.057958,1706.56021
1.856799933,1.928094333,83.833331,7.519223333,4.346666667,269.271025,5.186313,17.241909,12.05559933,1557.269444
1.977799933,2.052615667,85.39779567,7.355548,4.256666667,266.438567,5.183497333,17.23130167,12.047807,1532.638307
2.1084166,2.188310333,87.39749833,7.201615,4.156666667,262.9724623,5.180594667,17.22757133,12.04697833,1504.968884
2.210299967,2.271584,90.98433333,6.988795333,4.016666667,251.3535433,5.176865333,17.252774,12.07590967,1480.982566
2.257,2.296988333,92.18820167,6.853391667,3.913333333,233.7177833,5.171520333,17.322037,12.15051567,1455.840488
2.3126,2.3613504,91.00223467,6.832942333,3.9,213.243566,5.164194333,17.40906433,12.24486767,1513.059074
2.55165,2.6157558,91.56551667,6.791863667,3.9,188.6890887,5.156000333,17.49133333,12.33533167,1719.748621
3.00645,3.0826588,94.05625567,6.729779333,3.9,164.6043353,5.148173,17.56546367,12.41729033,1961.045858
3.52055,3.609927467,97.337628,6.646935,3.9,140.9594713,5.140556,17.62613967,12.485583,2169.277891
4.029866667,4.139169467,98.90637867,6.54333,3.9,117.7337627,5.132942667,17.68040433,12.54746033,2361.576713
4.417,4.540037667,101.1057133,6.379169333,3.883333333,95.142617,5.125294333,17.74074,12.615444,2432.375687
4.522466667,4.616398133,109.886055,6.000460333,3.766666667,72.24872633,5.118870667,17.80595667,12.68708367,2475.719542
4.733366667,4.7599444,124.372107,5.483083,3.566666667,49.784982,5.113718,17.86254833,12.74882667,2771.30565
5.393166667,5.357501067,138.7989023,5.052366,3.413333333,36.56816967,5.109555667,17.88986967,12.780311,3194.908848
6.2731,6.181269733,155.330905,4.617811333,3.23,30.65362167,5.107206333,17.88485933,12.77765133,3581.951249
7.140283333,6.995335333,173.693862,4.156909333,2.993333333,29.20413233,5.107085667,17.85871633,12.75163,3873.688767
7.693833333,7.5013176,189.875232,3.777677667,2.786666667,47.87003133,5.108233667,17.83459967,12.72636533,3838.702761
7.747516633,7.5050246,201.020396,3.475367333,2.606666667,75.41793473,5.109449333,17.832318,12.722867,3574.736914
7.357966633,7.0767116,210.1769267,3.357317667,2.526666667,102.3612578,5.11136,17.85221933,12.740857,3344.799944
