Id,sog,stw,head,wspeedms,wspeedbf,wdir,drafta,draftf,trim,me_power
47,12.16430933,12.31303,117.584887,3.756036667,2.573333333,292.3558713,17.74784017,18.31724967,0.569401133,9199.839433
48,12.187127,12.32174333,117.5374883,3.815644333,2.596666667,292.0202253,17.73663083,18.3233055,0.586662733,9161.80666
49,12.20395333,12.34283667,117.7324877,3.882709333,2.666666667,291.4668933,17.72910833,18.3279155,0.598796133,9128.18554
50,12.20308033,12.35054667,118.3438537,3.957349333,2.76,291.7162487,17.72260517,18.33286933,0.610259667,9097.719977
51,12.179832,12.34817667,119.487351,4.031477667,2.853333333,292.390397,17.71675083,18.33680983,0.6200616,9087.611643
52,12.139035,12.34756167,120.5557297,4.101226667,2.946666667,292.918989,17.7123565,18.33840467,0.6260516,9030.611643
53,12.04383767,12.2978,121.8695753,4.164211,2.996666667,293.204687,17.70678983,18.33897417,0.63218545,8872.403315
54,11.86564467,12.16665333,123.2600393,4.186581333,3,291.9305563,17.7009615,18.33858967,0.637633533,8636.212762
55,11.68485267,12.03870667,124.1292383,4.166684,3,290.0976527,17.69864333,18.33719317,0.6385609,8457.452753
56,11.52823167,11.92348167,126.683371,4.150162,3,289.7775917,17.69942067,18.33558283,0.636174817,8397.401085
57,11.40561833,11.83760833,131.5646517,4.118653,3,289.794933,17.701558,18.334118,0.6325732,8392.671083
58,11.34749033,11.82649333,137.1612673,4.063351333,3,290.2337337,17.70524,18.33323317,0.628007517,8405.524407
59,11.310095,11.83818,142.771937,4.004849667,2.996666667,291.3086527,17.70699433,18.33341017,0.626432567,8400.74719
60,11.19859967,11.78232667,145.4670057,3.934086,2.946666667,291.8756803,17.703373,18.33401833,0.630664167,8409.086647
61,11.05964133,11.71065333,144.8486763,3.850666,2.853333333,292.2645107,17.69661267,18.33483133,0.638236183,8412.51776
62,10.98422133,11.70250667,144.180879,3.758457,2.76,293.0666573,17.69119067,18.33633883,0.6451631,8446.205537
63,10.97592967,11.75020667,143.1534107,3.657459,2.666666667,294.3077357,17.6896655,18.33826533,0.648614133,8581.350862
64,11.05879867,11.87898,141.947613,3.531634667,2.573333333,296.4484623,17.69064633,18.3406895,0.65005545,8802.521188
65,11.15668767,12.00376667,141.289749,3.374121333,2.476666667,299.7448033,17.6906065,18.34368467,0.6530896,8970.845637
66,11.24814733,12.116525,138.8126187,3.201964667,2.38,302.1179063,17.688788,18.34668433,0.657908367,9021.064535
67,11.31820267,12.20431167,133.8734733,3.046764667,2.286666667,303.7226867,17.6860925,18.34955717,0.663474867,9016.897873
68,11.325777,12.21572667,128.3097907,2.921638667,2.193333333,306.1509403,17.68195783,18.35187833,0.669929567,8995.936433
69,11.30978367,12.19812667,122.7694587,2.815494667,2.103333333,309.590254,17.67901067,18.35333117,0.6743269,8992.054663
70,11.37314867,12.24896,119.9697297,2.729761,2.06,313.964262,17.679961,18.35498333,0.67502315,8965.67711
71,11.48397133,12.315835,119.831949,2.667508333,2.06,318.4110703,17.68303233,18.3570615,0.674027283,8936.13656
72,11.55540133,12.32144,119.643467,2.635436,2.06,322.320418,17.6868645,18.35836,0.671495483,8937.489903
73,11.62711167,12.32083667,119.4579043,2.631979333,2.06,325.6266107,17.69195667,18.35878733,0.6668332,8946.73791
74,11.70480567,12.32155,119.1245733,2.666073333,2.06,328.2771223,17.69779017,18.35890817,0.661121667,8955.787027
75,11.78212433,12.32547,118.5513087,2.739517333,2.063333333,315.5819343,17.7031935,18.35898467,0.655794283,8965.66425
76,11.85450067,12.32712333,118.0281103,2.822966,2.066666667,287.8088277,17.708409,18.35913433,0.6507274,8978.76536
