double_LSTM,sequence_size,epoches,batch_size,trainScoreMAE,trainScoreMSE,trainScoreRMSE,testScoreMAE,testScoreMSE,testScoreRMSE,exec_time
True,20,7,16,127.47910620686909,31135.96638815839,176.4538647583509,112.59199473749668,22574.673558164865,150.24870567883394,166797.28491210938
True,20,7,16,126.5833010251267,32034.473885577423,178.98176970176996,145.65145346074618,41110.78894684589,202.7579565562,163848.44921875
True,20,7,16,93.42072955868083,21996.13755409117,148.31094886788085,96.00800743543991,17186.135803421967,131.09590307641946,164305.63647460938
True,20,7,32,206.62610263170365,67762.91410600256,260.31310782594596,166.3226612116194,37706.71653352974,194.18217357298724,90674.67797851562
True,20,7,32,227.65721681555831,77485.88519411844,278.36286604739223,202.634350363292,51264.367882647515,226.41635957378944,91892.56103515625
True,20,7,32,166.7452125932998,59115.635737466844,243.1370719110248,105.71860431590142,26522.820798055298,162.85828440105618,90577.77270507812
True,20,7,32,194.30857538049312,55073.81435197295,234.6781079520903,187.0485364467807,53495.658719644074,231.29128543817657,91529.67504882812
True,20,7,32,226.00312800289026,82591.21802330503,287.3868786554199,289.89816893786485,110749.83385806424,332.7909762269167,91300.39331054688
True,20,7,64,115.8334012138023,47028.31378633381,216.86012493387025,131.94363146026788,43053.84635196329,207.4942079961831,56447.78515625
True,20,7,64,121.47297532808459,45898.950852986345,214.24040434284646,135.03056687830522,36955.83468340179,192.23900406369614,55755.10009765625
True,20,7,64,127.20718064188206,47191.96627422146,217.23711992710054,152.9515806258098,51689.203586561634,227.35259749244483,56311.487060546875
True,20,7,64,161.85113568468373,66937.07047363796,258.7219945687609,196.38125669801627,65846.55226056658,256.6058305272243,56003.69091796875
True,20,7,64,140.80962281862688,52646.06826860529,229.44731044099274,156.32666787935824,47112.64343129228,217.0544711156448,56530.36181640625
True,20,8,16,213.88586362640964,79702.55455212264,282.3164085775438,126.68160330121395,30567.054598849772,174.83436332383224,188381.73022460938
True,20,8,16,143.85467370088796,39307.87286894904,198.26213170686185,189.16606094574968,54021.7802501369,232.4258596846248,188334.63305664062
True,20,8,16,130.04084480879692,33264.66685698347,182.3860379990296,154.60411942325211,46405.745738533464,215.41992883327546,190086.35913085938
True,20,8,16,219.83117653854964,71854.3762567831,268.0566661300985,287.957828314856,99051.51454092245,314.72450578390374,190393.31127929688
True,20,8,16,94.89010204757776,22170.029013914263,148.8960342450875,97.91111301325346,20049.831598144552,141.59742793619012,189969.48754882812
True,20,8,32,181.82564968400553,52256.986821345454,228.59787142785353,143.52771206435656,32408.730493643518,180.02424973776039,103386.12939453125
True,20,8,32,133.15084164124482,34684.233466015976,186.23703569917552,144.94202896528833,35171.93132044876,187.54181219250486,103359.2587890625
True,20,8,32,171.5162479215738,52501.45508206734,229.13195997517968,110.18610469721408,20278.130736601615,142.4013017377356,103622.22314453125
True,20,8,32,188.7689629781353,55139.25238737228,234.81748739685526,197.0349989790149,59579.34467857134,244.08880490217354,102955.2431640625
True,20,8,32,133.1691916804701,35179.405351627465,187.56173744030914,88.72558953672245,14382.78303096771,119.92824117349387,103196.74755859375
True,20,8,64,138.40648743540336,48707.43442925714,220.69760857167697,118.55417314968447,30353.601695663943,174.2228506702377,62530.649658203125
True,20,8,64,185.88879035242414,69161.34710021863,262.9854503584155,305.61539660077796,140588.8945873196,374.951856359346,62559.897705078125
True,20,8,64,167.83229987646905,65961.50849438377,256.8297266563662,140.2676772161152,36221.883857987596,190.32047671752926,62782.003662109375
True,20,8,64,212.61798299657448,85127.16208427108,291.76559441488484,278.8375147495343,102004.98869388101,319.38219846115567,63742.26904296875
True,20,8,64,274.98823840936313,108072.39137989769,328.74365602988854,186.70843394359073,52424.62392395413,228.96424158360216,62956.2880859375
True,20,9,16,108.08375363285391,22817.52396042472,151.0547051912807,112.45836081418486,20886.501484664135,144.52162981596953,208316.77124023438
True,20,9,16,187.81847442012563,50930.31067916503,225.67744831764875,218.94262849020154,58303.98051963968,241.46217202626104,208422.697265625
True,20,9,16,106.14394891048035,26862.919082155702,163.89911251180007,130.48521954229724,39321.87473762074,198.29744006824885,205203.16137695312
True,20,9,16,88.23280055865399,20526.1750727573,143.26958879244856,93.30802899938783,18786.219426052834,137.06283021320127,204943.18579101562
True,20,9,16,155.90032851483355,41755.47000395649,204.34155231855436,173.81110718211394,58412.07151413575,241.68589432181545,207615.03100585938
True,20,9,32,91.79325986278818,23049.640719154326,151.82108127382813,102.79440318179431,20409.336074219944,142.8612476293692,114173.5849609375
True,20,9,32,154.7663588591888,42218.65733160894,205.47179205820186,160.7307895026304,40375.672570801886,200.93698656743584,115033.05419921875
True,20,9,32,120.68429273935368,31400.580423156145,177.20208921780844,136.47977779332064,37483.79191929796,193.6073137030158,114549.2490234375
True,20,9,32,137.938837124795,34780.96943579242,186.49656682039063,133.55424855131852,26043.68615250254,161.38056311868087,114870.2939453125
True,20,9,32,178.928228497874,58608.59168635141,242.09211405238173,127.92180205732046,29105.51965434376,170.60339871861802,114949.2451171875
True,20,9,64,270.16948149013535,99804.28438722587,315.9181609012465,201.41865665801663,52524.990256785466,229.18331147093906,69067.27392578125
True,20,9,64,143.3768135595215,43026.67959616965,207.4287337766146,101.45795994828438,22584.288623678654,150.28069943834655,69757.30541992188
True,20,9,64,279.40003033240936,112897.19277043483,336.00177495131607,193.66411539186555,62226.978240665514,249.45335884823342,69657.17749023438
True,20,9,64,208.27293971809178,80745.02195352029,284.1566855689309,269.4600614910359,94158.09052431425,306.8519032437541,69231.55688476562
True,20,9,64,160.35481611744493,53733.81405345287,231.80555224897628,155.23840012647904,39803.717152403726,199.50868941578392,69986.4619140625
True,20,10,16,164.0877649179101,44365.30831303795,210.63073924059125,217.22056204091422,74383.69550596712,272.7337447144506,232047.27075195312
True,20,10,16,127.91178745349198,28279.06534959567,168.1638051115509,146.75979191548785,28705.507355889717,169.42699712823136,235125.78588867188
True,20,10,16,73.78249330027796,14975.069906263561,122.37266813412037,61.54117331826872,9083.29514663035,95.30632270017739,231495.4609375
True,20,10,16,154.34185559967867,36812.74439637803,191.86647543637744,170.5739497890714,34923.3135137804,186.8778036947684,231589.5908203125
True,20,10,16,118.42787819592046,27838.256239659444,166.84800340327553,82.98886402181307,14417.031068803362,120.07094181692489,230952.6357421875
True,20,10,32,168.7263961057773,44166.101483456536,210.15732555268335,161.7020759968264,37897.54373843542,194.672914753017,127104.82250976562
True,20,10,32,129.86506441685827,31564.68963794032,177.66454243303676,127.0787827736726,28284.78223969889,168.18080223289127,126931.52709960938
True,20,10,32,239.78139570366838,82537.34025351764,287.293126011601,298.35532479063613,114936.82569247634,339.0233409257781,126891.50024414062
True,20,10,32,220.76734295019585,68287.19545518252,261.3181881446114,161.67369930443667,37274.83046843411,193.0669067148332,126129.7265625
True,20,10,32,109.35126621777961,27700.50222248613,166.4346785453264,121.17159107847985,23389.012460858987,152.93466729574098,126076.46411132812
True,20,10,64,139.37192226710343,40011.53138705793,200.02882639024287,209.24459315915104,59300.11867763001,243.51615691290385,77493.87377929688
True,20,10,64,134.30781879198938,49230.67096621697,221.87985705380507,176.37043140419289,66163.22421117312,257.22213009609635,76653.47607421875
True,20,10,64,159.25130884051956,54508.78098279364,233.4711566399448,224.03189322315683,83409.00454674644,288.8061712407587,76397.59643554688
True,20,10,64,196.02626424363447,58979.34562367677,242.85663594737693,233.36097014421128,67032.0191274526,258.90542506377227,77029.28247070312
True,20,10,64,159.89541192752975,46607.6718341508,215.88810026064615,137.68089655718532,35393.228246862665,188.13088063064677,76266.33251953125
True,25,5,16,131.03870652272562,34612.39827327967,186.04407615745166,147.0866720342557,29117.981909668222,170.6399188632842,143410.23608398438
True,25,5,16,133.20617764243926,36146.389576036054,190.1220386384389,135.56594797258154,30710.778657194034,175.24491050297019,145812.6396484375
True,25,5,16,206.63824411971228,78477.88253283953,280.1390414291438,238.78353816918562,102785.56509109103,320.601879425388,146806.4619140625
True,25,5,16,189.46842626682516,55027.56398034965,234.57954723366154,189.44304172087894,45101.20830261721,212.37045063430367,146344.28759765625
True,25,5,16,95.33863222802682,26972.882070040992,164.2342292886626,62.51881811618771,11525.102993000777,107.35503245307495,145466.677734375
True,25,5,32,151.0553010057108,45162.780126828766,212.5153644488529,193.1959368413178,53271.547429776736,230.806298505428,80708.50390625
True,25,5,32,152.24289549653415,47503.38436498713,217.9527113045101,174.85730819147466,60386.220111665214,245.73607816449177,81252.1552734375
True,25,5,32,120.67195186711754,36075.684777621675,189.93600179434566,76.40805639407114,15317.247236935733,123.7628669550594,83285.53442382812
True,25,5,32,144.0833187422318,52350.38607730391,228.80206746728473,160.46756431099627,59050.428392311274,243.00293906105597,82873.00537109375
True,25,5,32,205.49167408602426,70603.66564394612,265.71350293868414,185.6553679172083,55731.16664429785,236.07449384526456,82024.30737304688
True,25,5,64,294.3343172198427,153811.53881569763,392.18814211510477,364.1575332324029,177460.3811414855,421.2604671002081,51345.952880859375
True,25,5,64,191.62704528927515,92683.33723396197,304.4393818709432,197.23914726143778,85422.3332266671,292.2709927903676,50836.85400390625
True,25,5,64,210.42491845060587,115362.4065934171,339.6504182146948,193.36059964070085,122291.75473614759,349.70238022659726,51138.466064453125
True,25,5,64,163.4569410015765,83503.94364995632,288.9704892371474,183.22806450690712,69648.67526567621,263.91035460109595,51293.25
True,25,5,64,148.8954500224048,61106.286771321036,247.19685833626818,149.35683833662657,61023.36388764903,247.02907498440143,50701.788330078125
True,25,6,16,120.68225926184425,31076.507182114314,176.28530052762287,81.76318523326668,14399.962383214784,119.99984326329258,172983.755859375
True,25,6,16,209.45273180564394,57253.687769753175,239.2774284585848,184.81894479065028,42105.449068281494,205.19612342410736,172266.34204101562
True,25,6,16,185.2430236845404,55136.45585581306,234.8115326294964,142.04760302409719,29476.262476243122,171.68652386324072,173472.73779296875
True,25,6,16,127.73496518106498,35873.837458243084,189.40390032479027,159.23970304715152,46685.08740764297,216.06732147097804,175082.2919921875
True,25,6,16,117.6606890095618,30691.13744328724,175.18886221243415,125.79818173825673,32320.319274769397,179.77852840305874,167663.11206054688
True,25,6,32,131.70100973460447,37481.017598456405,193.60014875628687,129.17820621454084,26100.577357482594,161.55673108070303,97007.62841796875
True,25,6,32,132.22237631213176,45802.40515584616,214.01496479416144,125.91018602988336,30736.554587646086,175.31843767170093,95493.55078125
True,25,6,32,122.97403240874672,36626.1073177275,191.379485101532,91.74241461210828,20639.26774114878,143.66373147440095,95553.4140625
True,25,6,32,134.03446055683025,44754.09491892156,211.55163653094618,181.34308805836224,62087.535981449255,249.17370644080657,96480.83032226562
True,25,6,32,285.68773801134506,130347.92530914914,361.0372907459133,152.45808298532256,42170.62323484125,205.3548714660581,96550.70068359375
True,25,6,64,175.27631205505008,79504.83021501059,281.9660089709584,229.94890061842665,98139.07271663571,313.2715638493793,59045.38720703125
True,25,6,64,207.98670675270213,109403.37081465832,330.76180374199544,235.86788102371773,93603.15625548673,305.9463290439791,59813.814208984375
True,25,6,64,223.02826255140633,128616.30893527868,358.63116001719465,256.2465288252275,165479.58789826583,406.79182378492544,59543.6337890625
True,25,6,64,140.34249513219447,46992.453064354195,216.77742747886413,132.22938996169722,42359.969839628364,205.8153780445678,59608.400390625
True,25,6,64,290.20029262946144,148224.06266749252,384.99878268313074,211.57722780932,79113.38670540288,281.27102002410925,59254.326904296875
True,25,7,16,134.8982410285282,35138.12278958206,187.45165453946268,114.39976226811297,27036.20609810089,164.4269019902184,199704.21533203125
True,25,7,16,111.49913072789873,27388.132597958484,165.4936028913459,101.350771152259,21641.367307760476,147.11005168838898,200452.39526367188
True,25,7,16,128.42724548831717,33633.960823882204,183.395640144149,165.06884239687054,41617.933962206174,204.00474004837773,206508.96704101562
True,25,7,16,169.0160686356045,40315.22422795916,200.78651405898543,186.19688326610225,43138.28171687499,207.69757272745147,196618.50341796875
True,25,7,16,131.58094008877075,32227.50366707644,179.520204063711,156.13532870701414,33491.31152544034,183.00631553430154,199202.3447265625
True,25,7,32,168.63388498551345,53581.93276317888,231.47771547857232,194.0675805458321,70522.22153860137,265.56020322819717,110987.3330078125
True,25,7,32,203.57608866077192,78672.81831201771,280.4867524715164,255.39146575764673,132146.03308599503,363.51895835842595,110764.60668945312
True,25,7,32,132.29288216007325,36971.97861004143,192.280988685937,161.34497004738827,47443.52608937255,217.8153486083397,111154.5322265625
True,25,7,32,129.45705748110078,38031.98567663827,195.01791116879053,123.97745372904674,28590.800763749274,169.08814495330319,111169.06665039062
True,25,7,32,169.2761888348729,53649.46237526165,231.62353588368703,144.31697238629653,41180.522993402636,202.9298474680416,109607.86767578125
True,25,7,64,262.51602598676453,103521.855206418,321.7481238584275,201.5582357614378,57416.45969984063,239.61731928189295,67902.24536132812
True,25,7,64,167.6062534219634,54785.45158139768,234.0629222696275,116.98026800429615,27935.524461301495,167.13923674978744,67430.755859375
True,25,7,64,250.8467376359248,97930.34041742688,312.9382373846745,211.2671822045054,66891.70263240224,258.6343028919448,68033.7021484375
True,25,7,64,141.19927303703201,44703.47947395648,211.43197363207977,166.37759449923956,58490.737960920254,241.84858478171887,68067.56713867188
True,25,7,64,221.78344484980167,79323.84527527972,281.6448921519432,178.44536510830235,52104.03966291607,228.26309308102364,67645.9541015625
True,25,8,16,158.95224622268523,42084.04435392627,205.14396007176586,134.08719293475855,28426.22517259621,168.6007863937657,233202.84155273438
True,25,8,16,92.62152729835556,22820.873903934356,151.06579329528694,85.99186721819585,12700.822370873517,112.6979253175209,233687.6298828125
True,25,8,16,96.7354291849698,23871.217381374958,154.50313065234295,126.1341674507106,33621.898238243906,183.36275041088336,228239.41186523438
True,25,8,16,153.7095098721082,36895.56231299202,192.08217593777934,148.71434967266444,33760.04252104252,183.7390609561356,222654.24658203125
True,25,8,16,180.5627696068003,59566.613887804124,244.06272531421942,273.33742029942243,122572.26027184664,350.10321374110043,227257.34936523438
True,25,8,32,136.53886336183686,39139.04865740979,197.83591346722108,175.80093701695708,54771.83705940823,234.0338374240106,126092.95849609375
True,25,8,32,102.3203163034066,28663.61124286458,169.30331137595797,76.7990007474548,13563.955433965553,116.46439556347491,125598.68774414062
True,25,8,32,170.6211519844199,47191.018687729054,217.23493892035196,127.4668629790683,26785.18577642129,163.66180304646926,124681.4228515625
True,25,8,32,173.66127830738574,54229.75657695052,232.87283348847396,199.60182994231835,68738.4274857604,262.1801431950185,124543.37353515625
True,25,8,32,123.18934065209615,32001.03890046382,178.88834199148872,152.39556926810553,43616.23182788012,208.84499473983118,125791.74780273438
True,25,8,64,142.29269841613868,66659.19611430552,258.1844226794202,121.15307319813273,35391.03886159977,188.12506175839457,75465.32397460938
True,25,8,64,114.30183518087395,33905.2417432212,184.13376046564954,125.68791312913352,29246.69140606441,171.01664072851042,75674.69897460938
True,25,8,64,128.04275561303524,40319.202102921045,200.79641954706526,132.80098189461822,52627.002412744594,229.4057593277566,76164.34985351562
True,25,8,64,220.22752523145664,78059.0408867487,279.39048102386863,252.97741267810196,97492.86734456722,312.2384783215663,76651.013671875
True,25,8,64,193.29433321184513,70143.84737219822,264.8468375725831,140.17550686446876,36153.73007456595,190.14134236027144,76109.49829101562
True,25,9,16,92.06200707333903,19452.217764046167,139.4712076524978,121.20006237593066,26673.775392593496,163.32108067421515,251985.52172851562
True,25,9,16,165.38282238230968,48578.96435255741,220.40636186951912,119.00882914818997,22374.087108015105,149.57970152402063,251223.814453125
True,25,9,16,95.94174865861237,22469.42662598544,149.8980541100699,99.01005150292839,18123.26980261683,134.62269423324148,255320.05053710938
True,25,9,16,112.89423697228564,27396.52029758771,165.51894241321054,143.23977964178982,39921.46759841558,199.80357253666807,253590.14672851562
True,25,9,16,207.59650775167205,60457.96003445259,245.88200429159633,180.79245778739894,49462.700995112325,222.40211553650366,256621.0400390625
True,25,9,32,222.44043499821012,75373.84714242225,274.5429786798822,143.99059603906335,32412.106871211003,180.0336270567557,138505.48510742188
True,25,9,32,212.26340183627738,60733.67945179524,246.44204075562115,252.27139894186564,72096.64856277835,268.5081908672031,139959.45678710938
True,25,9,32,202.29026020124687,57681.577748636555,240.16989351006623,231.17367519029196,62082.06687880746,249.16273172127381,139209.06811523438
True,25,9,32,156.3971706513725,41716.84841415302,204.24702791999943,140.44748927962394,28414.049092524532,168.5646733231033,139807.17309570312
True,25,9,32,158.98549890045996,46079.37656291334,214.66107370204162,110.60315407226675,22595.98652062557,150.31961455720133,139486.68823242188
True,25,9,64,271.8155597314997,99762.93193851631,315.85270608072415,229.76626832567644,68332.25074842782,261.4043816549903,84691.3017578125
True,25,9,64,197.4069485706861,72636.80034890762,269.51215250690944,194.94499023134668,69553.11317580038,263.72924217045096,84153.14672851562
True,25,9,64,123.70318005934266,36086.85948337113,189.9654165456732,171.13640084269412,49260.40209815724,221.94684520884104,84519.39282226562
True,25,9,64,210.13894005059655,79949.53791663326,282.7534931997008,255.61096880754715,92419.1433617362,304.00516995889427,84213.41333007812
True,25,9,64,155.562864456784,47598.76321245243,218.17140787108752,110.1630968882571,23690.46861475804,153.91708357020684,83806.001953125
True,25,10,16,91.96469543859197,18215.324617105947,134.9641604912428,97.66713635732674,16186.588421448803,127.22652404844204,276932.7568359375
True,25,10,16,133.93135955139655,31597.121330518385,177.75579127139116,159.47628146721652,32069.27312389657,179.0789577920772,278353.38916015625
True,25,10,16,167.0162625981777,38267.491822362375,195.6207857625625,127.86742421041791,23625.795974850917,153.70685077396817,274687.880859375
True,25,10,16,186.78481159353322,53299.40025299806,230.86662871233264,145.63639453173354,28854.234055868717,169.8653409494377,285094.900390625
True,25,10,16,160.8159412478069,40710.57978579144,201.76862934012175,195.25154100278158,53632.086953417514,231.58602495275383,277579.9675292969
True,25,10,32,112.5626662129208,27074.68936393493,164.5438827909896,95.71611636220601,16728.236690659214,129.33768472745757,154157.38500976562
True,25,10,32,136.72445023996823,34181.198591838955,184.88157991492542,157.05985504054397,34824.522471471784,186.6132966095176,153331.38208007812
True,25,10,32,109.11559521275014,29814.897076382545,172.669907848422,136.78902729216557,35615.223502371846,188.71996052980683,153278.373046875
True,25,10,32,116.13227026157693,29425.416876438405,171.53838309963868,105.85975671763816,21043.406445178254,145.06345661529735,153717.927734375
True,25,10,32,177.49196577826547,52750.91811456075,229.67568028539884,164.95669946150764,47589.44371275697,218.150048619653,154533.49243164062
True,25,10,64,106.53561005116684,32385.548951054436,179.95985372036296,91.23472292093246,20415.9505075547,142.88439560551984,92597.56176757812
True,25,10,64,152.38413882762651,48444.55325335417,220.10123410229704,170.1624019962783,51461.79373262296,226.8519202753703,92453.07397460938
True,25,10,64,110.07961124686345,32242.079118540918,179.56079504875478,91.77298132002967,17746.21101295614,133.21490537081854,92254.900390625
True,25,10,64,171.05905178231984,49488.85803451337,222.4609134983343,148.2744950359308,44264.45762386144,210.39120139364536,93062.27221679688
True,25,10,64,153.8872539177354,45554.861442311405,213.43584854075334,174.8480775979458,55425.63508917794,235.42649614938827,93256.47631835938
False,5,5,16,223.9451500715669,76882.37784634477,277.2767171010663,216.02118295805255,59154.40020278141,243.21677615407498,26336.7412109375
False,5,5,16,180.53821432395108,63737.29635278369,252.46246523549533,115.87107953771869,25736.412561643745,160.4257228802281,26782.92578125
False,5,5,16,116.74000948270465,41612.85882508766,203.99230089659673,111.06026812423863,27215.979828814146,164.9726638834875,26751.939208984375
False,5,5,16,131.0580030873859,52754.300664138995,229.6830439195262,89.48748292014535,23945.704860666152,154.74399781789973,26882.323974609375
False,5,5,16,133.8039966535907,47343.35664517851,217.58528591147544,111.35158107096471,29054.12142985774,170.45269557815078,26575.710693359375
False,5,5,32,186.9220637453668,92898.85077950143,304.79312784165825,210.41852050961432,86843.65178068305,294.6924698404814,15567.2578125
False,5,5,32,178.9787451338967,91465.27896741353,302.43227170296086,222.8883746449377,81736.57597401123,285.8960929673773,15283.033203125
False,5,5,32,199.41085418867635,101226.8056486627,318.1616030394974,117.1079493388346,41448.48598013165,203.58901242486453,15162.404296875
False,5,5,32,176.06774936148616,83256.80997264342,288.5425618043955,197.83374802698074,66045.24507279355,256.9926945903201,15421.324462890625
False,5,5,32,188.30447390931744,82714.66795406812,287.60157849717746,135.82765431035875,46925.195956444775,216.62224252473422,15201.6513671875
False,5,5,64,163.36329288397957,96873.04659079738,311.2443519018416,154.06296919883366,55506.69179359503,235.59858190064523,10009.943115234375
False,5,5,64,212.41037285256468,114511.73476474479,338.39582557227976,177.99032168585208,72879.43391871861,269.961911977817,10188.302734375
False,5,5,64,194.53754417464899,106426.03308005807,326.2300309291866,217.40021189366016,94021.52554635356,306.6292966211049,10368.27001953125
False,5,5,64,262.41163591801813,131222.35483355215,362.2462626909381,185.15264407616414,75852.849320434,275.41395992293855,10100.81103515625
False,5,5,64,160.01991215914643,87755.62915569212,296.2357661655529,169.47262665462418,60859.69311982891,246.69757420742692,10113.65478515625
False,5,6,16,171.97647845808575,46532.96881989094,215.71501760399283,116.99029761293298,23593.970414077547,153.6032890731105,31938.111572265625
False,5,6,16,115.81684361561798,36509.85462152632,191.07552072813073,111.96456638934562,23604.838881593827,153.63866336828704,31127.996337890625
False,5,6,16,136.23337571864914,44103.07221336155,210.0073146663267,148.48060327850607,35834.14707437833,189.2990942249284,31823.229248046875
False,5,6,16,124.52267566839834,33219.050274255926,182.26094006740973,111.531953062958,20822.072979271255,144.29855501449507,32008.517333984375
False,5,6,16,151.67208184872763,45369.54780628018,213.00128592635346,160.09484599847357,37505.42939436014,193.6631854389474,31537.7021484375
False,5,6,32,189.76584456372797,66452.83907156234,257.78448182844977,136.3817426898833,37794.33524399079,194.40765222591108,17548.848876953125
False,5,6,32,135.15628601359427,55752.48862056446,236.11964895062093,116.25803882209406,30917.253302728644,175.83302676894533,17564.326416015625
False,5,6,32,163.72622453128855,61163.471212970144,247.31249708207255,96.40281942690122,26860.74583716747,163.8924825523351,17294.712646484375
False,5,6,32,142.26364148641403,59310.976814084,243.538450381216,101.6097536266262,29041.320123479927,170.4151405347539,17937.182861328125
False,5,6,32,148.63085638541057,70130.63103780558,264.8218854962814,146.51612524021928,43123.25765886571,207.6614014661023,17677.299560546875
False,5,6,64,225.21356058967842,106203.29402009927,325.88846868230746,172.0237857520043,62001.228610364466,249.0004590565336,11384.44189453125
False,5,6,64,161.42768199715817,88555.93793164853,297.5834974114803,149.1864483727667,59743.14311048735,244.42410501112067,11445.15771484375
False,5,6,64,179.94560961977822,98965.25062873414,314.58742922871875,237.11358187988702,98007.49464795094,313.06148700846444,11223.27392578125
False,5,6,64,253.1296830598133,127604.8852149319,357.2182599125245,159.82246293298775,64655.06585011649,254.27360431259177,11381.203125
False,5,6,64,220.05349144346616,106395.79998690626,326.1836905593323,324.1560112099707,155999.027204574,394.96712167543006,11363.4072265625
False,5,7,16,171.1668567527238,44185.805292413315,210.20419903611182,123.68422259640779,24624.79491245199,156.92289480012784,36206.74755859375
False,5,7,16,174.22861412953876,57839.977674201604,240.49943383343256,129.01409638137923,30093.473363775953,173.47470525634552,35561.29833984375
False,5,7,16,90.83329608975927,29416.445526535794,171.51223141961566,71.12228966800889,14294.709780934358,119.56048586775799,35969.125244140625
False,5,7,16,107.23409120090757,35408.09387627708,188.17038522646723,88.95086395889935,19771.29506217255,140.6104372447954,36622.3486328125
False,5,7,16,178.6885668040546,53564.45128175346,231.43995178394215,178.17077623357756,58478.5979534536,241.8234851155975,35479.072021484375
False,5,7,32,215.56257851391328,86953.30208128225,294.8784530637704,137.36560174053224,46629.39573966569,215.93840728241398,20040.94140625
